Year,County,PDI,PDIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10,RiskAdjRate_ICD10,AnnotationCode,AnnotationDesc
2008,Lassen,16,Gastroenteritis (Age 3 months-17 years),13,"6,485",200.5,209.8,,,,,,
2009,Lassen,16,Gastroenteritis (Age 3 months-17 years),25,"6,381",391.8,394.6,,,,,,
2010,Lassen,16,Gastroenteritis (Age 3 months-17 years),,,64.1,65,,,,,,
2011,Lassen,16,Gastroenteritis (Age 3 months-17 years),,,33.7,33.5,,,,,,
2012,Lassen,16,Gastroenteritis (Age 3 months-17 years),11,"5,755",191.2,189.8,,,,,,
2013,Lassen,16,Gastroenteritis (Age 3 months-17 years),,,89.3,88.7,,,,,,
2014,Lassen,16,Gastroenteritis (Age 3 months-17 years),,,71.1,70,,,,,,
2015,Lassen,16,Gastroenteritis (Age 3 months-17 years),,,103.5,101.1,,,,,,
2016,Lassen,16,Gastroenteritis (Age 3 months-17 years),,,,,,,19.0,19.1,1,Cell suppressed for small numbers
2017,Lassen,16,Gastroenteritis (Age 3 months-17 years),,,,,,,38.0,37.1,1,Cell suppressed for small numbers
2018,Lassen,16,Gastroenteritis (Age 3 months-17 years),,,,,,,57.5,55.8,1,Cell suppressed for small numbers
2019,Lassen,16,Gastroenteritis (Age 3 months-17 years),,,,,,,38.2,37.9,1,Cell suppressed for small numbers
2020,Lassen,16,Gastroenteritis (Age 3 months-17 years),,,,,,,18.9,19.0,1,Cell suppressed for small numbers
2005,Lassen,17,Perforated Appendix (Age 1-17),,,222.2,239.3,,,,,,
2006,Lassen,17,Perforated Appendix (Age 1-17),,,300,318.4,,,,,,
2007,Lassen,17,Perforated Appendix (Age 1-17),,,90.9,101.2,,,,,,
2008,Lassen,17,Perforated Appendix (Age 1-17),,,230.8,264.1,,,,,,
2009,Lassen,17,Perforated Appendix (Age 1-17),,,90.9,107.5,,,,,,
2010,Lassen,17,Perforated Appendix (Age 1-17),,,250,280.2,,,,,,
2011,Lassen,17,Perforated Appendix (Age 1-17),,,444.4,463.2,,,,,,
2012,Lassen,17,Perforated Appendix (Age 1-17),,,250,266.9,,,,,,
2013,Lassen,17,Perforated Appendix (Age 1-17),,,333.3,398.2,,,,,,
2014,Lassen,17,Perforated Appendix (Age 1-17),,,428.6,376.3,,,,,,
2015,Lassen,17,Perforated Appendix (Age 1-17),0,<11,0,,,,,,,
2005,Lassen,18,Urinary Tract Infection (Age 3 months-17 years),,,89.7,96.9,,,,,,
2006,Lassen,18,Urinary Tract Infection (Age 3 months-17 years),,,30.3,32,,,,,,
2007,Lassen,18,Urinary Tract Infection (Age 3 months-17 years),0,"6,507",0,0,,,,,,
2008,Lassen,18,Urinary Tract Infection (Age 3 months-17 years),,,61.7,65.2,,,,,,
2009,Lassen,18,Urinary Tract Infection (Age 3 months-17 years),,,47,48.5,,,,,,
2010,Lassen,18,Urinary Tract Infection (Age 3 months-17 years),,,64.1,66.1,,,,,,
2011,Lassen,18,Urinary Tract Infection (Age 3 months-17 years),,,16.8,16.9,,,,,,
2012,Lassen,18,Urinary Tract Infection (Age 3 months-17 years),0,"5,755",0,0,,,,,,
2013,Lassen,18,Urinary Tract Infection (Age 3 months-17 years),,,35.7,35.2,,,,,,
2014,Lassen,18,Urinary Tract Infection (Age 3 months-17 years),,,106.6,105.2,,,,,,
2015,Lassen,18,Urinary Tract Infection (Age 3 months-17 years),0,"3,866",0,0,,,,,,
2016,Lassen,18,Urinary Tract Infection (Age 3 months-17 years),,,,,0,"5,262",0.0,0.0,,
2017,Lassen,18,Urinary Tract Infection (Age 3 months-17 years),,,,,0,"5,266",0.0,0.0,,
2018,Lassen,18,Urinary Tract Infection (Age 3 months-17 years),,,,,,,19.2,18.0,1,Cell suppressed for small numbers
2019,Lassen,18,Urinary Tract Infection (Age 3 months-17 years),,,,,0,"5,241",0.0,0.0,,
2020,Lassen,18,Urinary Tract Infection (Age 3 months-17 years),,,,,0,"5,300",0.0,0.0,,
2005,Lassen,90,PDI Overall Composite (Age 6-17),,,203.3,205.2,,,,,,
2006,Lassen,90,PDI Overall Composite (Age 6-17),,,146.3,148.2,,,,,,
2007,Lassen,90,PDI Overall Composite (Age 6-17),,,106.6,108,,,,,,
2008,Lassen,90,PDI Overall Composite (Age 6-17),,,85.6,86.9,,,,,,
2009,Lassen,90,PDI Overall Composite (Age 6-17),,,178.2,181,,,,,,
2010,Lassen,90,PDI Overall Composite (Age 6-17),11,"4,406",249.7,252.7,,,,,,
2011,Lassen,90,PDI Overall Composite (Age 6-17),,,96.6,97.5,,,,,,
2012,Lassen,90,PDI Overall Composite (Age 6-17),,,150.1,150.1,,,,,,
2013,Lassen,90,PDI Overall Composite (Age 6-17),,,180,180.3,,,,,,
2014,Lassen,90,PDI Overall Composite (Age 6-17),18,"3,891",462.6,467.5,,,,,,
2015,Lassen,90,PDI Overall Composite (Age 6-17),,,113.1,112.6,,,,,,
2016,Lassen,90,PDI Overall Composite (Age 6-17),,,,,,,168.9,156.8,1,Cell suppressed for small numbers
2017,Lassen,90,PDI Overall Composite (Age 6-17),,,,,,,114.5,106.1,1,Cell suppressed for small numbers
2018,Lassen,90,PDI Overall Composite (Age 6-17),,,,,,,87.0,80.5,1,Cell suppressed for small numbers
2019,Lassen,90,PDI Overall Composite (Age 6-17),,,,,,,56.9,52.5,1,Cell suppressed for small numbers
2020,Lassen,90,PDI Overall Composite (Age 6-17),,,,,,,55.8,51.5,1,Cell suppressed for small numbers
2005,Lassen,91,PDI Acute Composite (Age 6-17),,,122,122.6,,,,,,
2006,Lassen,91,PDI Acute Composite (Age 6-17),,,125.4,125.9,,,,,,
2007,Lassen,91,PDI Acute Composite (Age 6-17),,,63.9,64.3,,,,,,
2008,Lassen,91,PDI Acute Composite (Age 6-17),,,85.6,86.4,,,,,,
2009,Lassen,91,PDI Acute Composite (Age 6-17),,,111.4,112.3,,,,,,
2010,Lassen,91,PDI Acute Composite (Age 6-17),,,90.8,91.4,,,,,,
2011,Lassen,91,PDI Acute Composite (Age 6-17),,,24.2,24.4,,,,,,
2012,Lassen,91,PDI Acute Composite (Age 6-17),,,50,49.9,,,,,,
2013,Lassen,91,PDI Acute Composite (Age 6-17),,,51.4,51.2,,,,,,
2014,Lassen,91,PDI Acute Composite (Age 6-17),,,231.3,230.9,,,,,,
2015,Lassen,91,PDI Acute Composite (Age 6-17),,,75.4,74.4,,,,,,
2016,Lassen,91,PDI Acute Composite (Age 6-17),,,,,,,28.1,27.0,1,Cell suppressed for small numbers
2017,Lassen,91,PDI Acute Composite (Age 6-17),,,,,,,28.6,27.5,1,Cell suppressed for small numbers
2018,Lassen,91,PDI Acute Composite (Age 6-17),,,,,,,58.0,55.8,1,Cell suppressed for small numbers
2019,Lassen,91,PDI Acute Composite (Age 6-17),,,,,,,28.5,27.3,1,Cell suppressed for small numbers
2020,Lassen,91,PDI Acute Composite (Age 6-17),,,,,,,27.9,26.6,1,Cell suppressed for small numbers
2005,Lassen,92,PDI Chronic Composite (Age 6-17),,,81.3,82.2,,,,,,
2006,Lassen,92,PDI Chronic Composite (Age 6-17),,,20.9,21.2,,,,,,
2007,Lassen,92,PDI Chronic Composite (Age 6-17),,,42.6,43.3,,,,,,
2008,Lassen,92,PDI Chronic Composite (Age 6-17),0,"4,672",0,0,,,,,,
2009,Lassen,92,PDI Chronic Composite (Age 6-17),,,66.8,68.1,,,,,,
2010,Lassen,92,PDI Chronic Composite (Age 6-17),,,158.9,161.2,,,,,,
2011,Lassen,92,PDI Chronic Composite (Age 6-17),,,72.5,73.1,,,,,,
2012,Lassen,92,PDI Chronic Composite (Age 6-17),,,100.1,100.2,,,,,,
2013,Lassen,92,PDI Chronic Composite (Age 6-17),,,128.6,129.1,,,,,,
2014,Lassen,92,PDI Chronic Composite (Age 6-17),,,231.3,234.8,,,,,,
2015,Lassen,92,PDI Chronic Composite (Age 6-17),,,37.7,37.6,,,,,,
2016,Lassen,92,PDI Chronic Composite (Age 6-17),,,,,,,140.7,129.4,1,Cell suppressed for small numbers
2017,Lassen,92,PDI Chronic Composite (Age 6-17),,,,,,,85.9,78.6,1,Cell suppressed for small numbers
2018,Lassen,92,PDI Chronic Composite (Age 6-17),,,,,,,29.0,26.5,1,Cell suppressed for small numbers
2019,Lassen,92,PDI Chronic Composite (Age 6-17),,,,,,,28.5,25.9,1,Cell suppressed for small numbers
2020,Lassen,92,PDI Chronic Composite (Age 6-17),,,,,,,27.9,25.5,1,Cell suppressed for small numbers
2005,Los Angeles,9,Low Birth Weight (<2500 grams),"8,221","149,781",54.9,54.9,,,,,,
2006,Los Angeles,9,Low Birth Weight (<2500 grams),"8,455","150,870",56,56,,,,,,
2007,Los Angeles,9,Low Birth Weight (<2500 grams),"8,474","151,242",56,56,,,,,,
2008,Los Angeles,9,Low Birth Weight (<2500 grams),"8,098","146,646",55.2,55.2,,,,,,
2009,Los Angeles,9,Low Birth Weight (<2500 grams),"7,660","138,622",55.3,55.3,,,,,,
2010,Los Angeles,9,Low Birth Weight (<2500 grams),"7,470","132,369",56.4,56.4,,,,,,
2011,Los Angeles,9,Low Birth Weight (<2500 grams),"7,193","129,600",55.5,55.5,,,,,,
2012,Los Angeles,9,Low Birth Weight (<2500 grams),"7,155","131,215",54.5,54.5,,,,,,
2013,Los Angeles,9,Low Birth Weight (<2500 grams),"7,162","125,370",57.1,57.1,,,,,,
2014,Los Angeles,9,Low Birth Weight (<2500 grams),"7,144","128,862",55.4,55.5,,,,,,
2015,Los Angeles,9,Low Birth Weight (<2500 grams),"5,620","92,459",60.8,60.8,,,,,,
2005,Los Angeles,14,Asthma (Age 2-17),"2,599","2,304,650",112.8,112.3,,,,,,
2006,Los Angeles,14,Asthma (Age 2-17),"2,455","2,258,927",108.7,109,,,,,,
2007,Los Angeles,14,Asthma (Age 2-17),"2,149","2,212,127",97.1,97.8,,,,,,
2008,Los Angeles,14,Asthma (Age 2-17),"2,048","2,189,680",93.5,94,,,,,,
2009,Los Angeles,14,Asthma (Age 2-17),"2,561","2,172,130",117.9,118.4,,,,,,
2010,Los Angeles,14,Asthma (Age 2-17),"2,187","2,155,850",101.4,101.7,,,,,,
2011,Los Angeles,14,Asthma (Age 2-17),"2,346","2,125,690",110.4,109.8,,,,,,
2012,Los Angeles,14,Asthma (Age 2-17),"2,437","2,090,053",116.6,115.1,,,,,,
2013,Los Angeles,14,Asthma (Age 2-17),"2,261","2,068,849",109.3,107.4,,,,,,
2014,Los Angeles,14,Asthma (Age 2-17),"2,211","2,042,768",108.2,109.2,,,,,,
2015,Los Angeles,14,Asthma (Age 2-17),"1,375","1,513,664",90.8,88,,,,,,
2016,Los Angeles,14,Asthma (Age 2-17),,,,,"1,810","1,999,617",90.5,87.6,,
2017,Los Angeles,14,Asthma (Age 2-17),,,,,"1,150","1,975,463",58.2,56.4,,
2018,Los Angeles,14,Asthma (Age 2-17),,,,,"1,136","1,943,365",58.5,56.8,,
2019,Los Angeles,14,Asthma (Age 2-17),,,,,"1,117","1,909,813",58.5,57.1,,
2020,Los Angeles,14,Asthma (Age 2-17),,,,,383,"1,878,372",20.4,20.0,,
2005,Los Angeles,15,Diabetes Short-term Complications (Age 6-17),318,"1,751,544",18.2,17.7,,,,,,
2006,Los Angeles,15,Diabetes Short-term Complications (Age 6-17),359,"1,722,880",20.8,20.2,,,,,,
2007,Los Angeles,15,Diabetes Short-term Complications (Age 6-17),342,"1,687,649",20.3,19.6,,,,,,
2008,Los Angeles,15,Diabetes Short-term Complications (Age 6-17),335,"1,667,244",20.1,19.4,,,,,,
2009,Los Angeles,15,Diabetes Short-term Complications (Age 6-17),332,"1,653,881",20.1,19.4,,,,,,
2010,Los Angeles,15,Diabetes Short-term Complications (Age 6-17),277,"1,641,965",16.9,16.4,,,,,,
2011,Los Angeles,15,Diabetes Short-term Complications (Age 6-17),305,"1,610,744",18.9,18.4,,,,,,
2012,Los Angeles,15,Diabetes Short-term Complications (Age 6-17),303,"1,577,459",19.2,18.8,,,,,,
2013,Los Angeles,15,Diabetes Short-term Complications (Age 6-17),335,"1,558,015",21.5,21.1,,,,,,
2014,Los Angeles,15,Diabetes Short-term Complications (Age 6-17),318,"1,554,807",20.5,19.6,,,,,,
2015,Los Angeles,15,Diabetes Short-term Complications (Age 6-17),225,"1,130,162",19.9,19.7,,,,,,
2016,Los Angeles,15,Diabetes Short-term Complications (Age 6-17),,,,,285,"1,499,906",19.0,18.7,,
2017,Los Angeles,15,Diabetes Short-term Complications (Age 6-17),,,,,165,"1,483,539",11.1,10.9,,
2018,Los Angeles,15,Diabetes Short-term Complications (Age 6-17),,,,,179,"1,464,565",12.2,12.0,,
2019,Los Angeles,15,Diabetes Short-term Complications (Age 6-17),,,,,194,"1,445,047",13.4,13.2,,
2020,Los Angeles,15,Diabetes Short-term Complications (Age 6-17),,,,,216,"1,428,126",15.1,14.9,,
2005,Los Angeles,16,Gastroenteritis (Age 3 months-17 years),"3,466","2,548,956",136,132.8,,,,,,
2006,Los Angeles,16,Gastroenteritis (Age 3 months-17 years),"3,755","2,495,450",150.5,147.9,,,,,,
2007,Los Angeles,16,Gastroenteritis (Age 3 months-17 years),"3,138","2,444,107",128.4,126.2,,,,,,
2008,Los Angeles,16,Gastroenteritis (Age 3 months-17 years),"2,493","2,421,026",103,100.8,,,,,,
2009,Los Angeles,16,Gastroenteritis (Age 3 months-17 years),"2,498","2,400,818",104,101.9,,,,,,
2010,Los Angeles,16,Gastroenteritis (Age 3 months-17 years),"1,697","2,381,545",71.3,69.9,,,,,,
2011,Los Angeles,16,Gastroenteritis (Age 3 months-17 years),"1,808","2,352,563",76.9,74.6,,,,,,
2012,Los Angeles,16,Gastroenteritis (Age 3 months-17 years),"1,609","2,315,374",69.5,67,,,,,,
2013,Los Angeles,16,Gastroenteritis (Age 3 months-17 years),"1,700","2,292,901",74.1,71.3,,,,,,
2014,Los Angeles,16,Gastroenteritis (Age 3 months-17 years),"1,116","2,259,779",49.4,48.2,,,,,,
2015,Los Angeles,16,Gastroenteritis (Age 3 months-17 years),"1,038","1,682,304",61.7,58.4,,,,,,
2016,Los Angeles,16,Gastroenteritis (Age 3 months-17 years),,,,,"1,055","2,218,623",47.6,45.1,,
2017,Los Angeles,16,Gastroenteritis (Age 3 months-17 years),,,,,890,"2,190,911",40.6,38.6,,
2018,Los Angeles,16,Gastroenteritis (Age 3 months-17 years),,,,,748,"2,152,126",34.8,33.3,,
2019,Los Angeles,16,Gastroenteritis (Age 3 months-17 years),,,,,689,"2,110,976",32.6,31.5,,
2020,Los Angeles,16,Gastroenteritis (Age 3 months-17 years),,,,,265,"2,071,839",12.8,12.5,,
2005,Los Angeles,17,Perforated Appendix (Age 1-17),"1,357","3,776",359.4,347.6,,,,,,
2006,Los Angeles,17,Perforated Appendix (Age 1-17),"1,337","3,667",364.6,358.8,,,,,,
2007,Los Angeles,17,Perforated Appendix (Age 1-17),"1,244","3,624",343.3,339.4,,,,,,
2008,Los Angeles,17,Perforated Appendix (Age 1-17),"1,284","3,719",345.3,339,,,,,,
2009,Los Angeles,17,Perforated Appendix (Age 1-17),"1,231","3,971",310,305.1,,,,,,
2010,Los Angeles,17,Perforated Appendix (Age 1-17),"1,236","3,890",317.7,315,,,,,,
2011,Los Angeles,17,Perforated Appendix (Age 1-17),"1,218","3,902",312.1,308.1,,,,,,
2012,Los Angeles,17,Perforated Appendix (Age 1-17),"1,164","3,938",295.6,293.3,,,,,,
2013,Los Angeles,17,Perforated Appendix (Age 1-17),"1,174","3,470",338.3,329.3,,,,,,
2014,Los Angeles,17,Perforated Appendix (Age 1-17),"1,229","3,459",355.3,345.5,,,,,,
2015,Los Angeles,17,Perforated Appendix (Age 1-17),867,"2,325",372.9,368.1,,,,,,
2005,Los Angeles,18,Urinary Tract Infection (Age 3 months-17 years),"1,171","2,548,956",45.9,45,,,,,,
2006,Los Angeles,18,Urinary Tract Infection (Age 3 months-17 years),"1,066","2,495,450",42.7,41.9,,,,,,
2007,Los Angeles,18,Urinary Tract Infection (Age 3 months-17 years),940,"2,444,107",38.5,37.6,,,,,,
2008,Los Angeles,18,Urinary Tract Infection (Age 3 months-17 years),"1,106","2,421,026",45.7,44.5,,,,,,
2009,Los Angeles,18,Urinary Tract Infection (Age 3 months-17 years),"1,135","2,400,818",47.3,46,,,,,,
2010,Los Angeles,18,Urinary Tract Infection (Age 3 months-17 years),938,"2,381,545",39.4,38.3,,,,,,
2011,Los Angeles,18,Urinary Tract Infection (Age 3 months-17 years),951,"2,352,563",40.4,39.1,,,,,,
2012,Los Angeles,18,Urinary Tract Infection (Age 3 months-17 years),895,"2,315,374",38.7,37.3,,,,,,
2013,Los Angeles,18,Urinary Tract Infection (Age 3 months-17 years),801,"2,292,901",34.9,33.6,,,,,,
2014,Los Angeles,18,Urinary Tract Infection (Age 3 months-17 years),695,"2,259,779",30.8,29.7,,,,,,
2015,Los Angeles,18,Urinary Tract Infection (Age 3 months-17 years),424,"1,682,304",25.2,24,,,,,,
2016,Los Angeles,18,Urinary Tract Infection (Age 3 months-17 years),,,,,494,"2,218,623",22.3,22.7,,
2017,Los Angeles,18,Urinary Tract Infection (Age 3 months-17 years),,,,,388,"2,190,911",17.7,18.1,,
2018,Los Angeles,18,Urinary Tract Infection (Age 3 months-17 years),,,,,343,"2,152,126",15.9,16.4,,
2019,Los Angeles,18,Urinary Tract Infection (Age 3 months-17 years),,,,,303,"2,110,976",14.4,14.8,,
2020,Los Angeles,18,Urinary Tract Infection (Age 3 months-17 years),,,,,223,"2,071,839",10.8,11.2,,
2005,Los Angeles,90,PDI Overall Composite (Age 6-17),"2,865","1,751,544",163.6,162.7,,,,,,
2006,Los Angeles,90,PDI Overall Composite (Age 6-17),"2,605","1,722,880",151.2,150.7,,,,,,
2007,Los Angeles,90,PDI Overall Composite (Age 6-17),"2,435","1,687,649",144.3,144,,,,,,
2008,Los Angeles,90,PDI Overall Composite (Age 6-17),"2,338","1,667,244",140.2,139.9,,,,,,
2009,Los Angeles,90,PDI Overall Composite (Age 6-17),"2,677","1,653,881",161.9,161.2,,,,,,
2010,Los Angeles,90,PDI Overall Composite (Age 6-17),"2,200","1,641,965",134,133.2,,,,,,
2011,Los Angeles,90,PDI Overall Composite (Age 6-17),"2,311","1,610,744",143.5,142.4,,,,,,
2012,Los Angeles,90,PDI Overall Composite (Age 6-17),"2,251","1,577,459",142.7,141.1,,,,,,
2013,Los Angeles,90,PDI Overall Composite (Age 6-17),"2,295","1,558,015",147.3,145.3,,,,,,
2014,Los Angeles,90,PDI Overall Composite (Age 6-17),"2,191","1,554,807",140.9,140.9,,,,,,
2015,Los Angeles,90,PDI Overall Composite (Age 6-17),"1,451","1,130,162",128.4,126.1,,,,,,
2016,Los Angeles,90,PDI Overall Composite (Age 6-17),,,,,"1,791","1,499,906",119.4,116.1,,
2017,Los Angeles,90,PDI Overall Composite (Age 6-17),,,,,"1,268","1,483,539",85.5,83.1,,
2018,Los Angeles,90,PDI Overall Composite (Age 6-17),,,,,"1,217","1,464,565",83.1,80.8,,
2019,Los Angeles,90,PDI Overall Composite (Age 6-17),,,,,"1,123","1,445,047",77.7,75.5,,
2020,Los Angeles,90,PDI Overall Composite (Age 6-17),,,,,615,"1,428,126",43.1,41.9,,
2005,Los Angeles,91,PDI Acute Composite (Age 6-17),"1,128","1,751,544",64.4,63.9,,,,,,
2006,Los Angeles,91,PDI Acute Composite (Age 6-17),"1,009","1,722,880",58.6,57.9,,,,,,
2007,Los Angeles,91,PDI Acute Composite (Age 6-17),945,"1,687,649",56,55.2,,,,,,
2008,Los Angeles,91,PDI Acute Composite (Age 6-17),963,"1,667,244",57.8,56.7,,,,,,
2009,Los Angeles,91,PDI Acute Composite (Age 6-17),975,"1,653,881",59,57.7,,,,,,
2010,Los Angeles,91,PDI Acute Composite (Age 6-17),833,"1,641,965",50.7,49.5,,,,,,
2011,Los Angeles,91,PDI Acute Composite (Age 6-17),876,"1,610,744",54.4,53.1,,,,,,
2012,Los Angeles,91,PDI Acute Composite (Age 6-17),797,"1,577,459",50.5,49.3,,,,,,
2013,Los Angeles,91,PDI Acute Composite (Age 6-17),865,"1,558,015",55.5,54.1,,,,,,
2014,Los Angeles,91,PDI Acute Composite (Age 6-17),758,"1,554,807",48.8,47.6,,,,,,
2015,Los Angeles,91,PDI Acute Composite (Age 6-17),534,"1,130,162",47.2,45.9,,,,,,
2016,Los Angeles,91,PDI Acute Composite (Age 6-17),,,,,602,"1,499,906",40.1,38.3,,
2017,Los Angeles,91,PDI Acute Composite (Age 6-17),,,,,488,"1,483,539",32.9,31.5,,
2018,Los Angeles,91,PDI Acute Composite (Age 6-17),,,,,437,"1,464,565",29.8,28.6,,
2019,Los Angeles,91,PDI Acute Composite (Age 6-17),,,,,350,"1,445,047",24.2,23.2,,
2020,Los Angeles,91,PDI Acute Composite (Age 6-17),,,,,199,"1,428,126",13.9,13.3,,
2005,Los Angeles,92,PDI Chronic Composite (Age 6-17),"1,737","1,751,544",99.2,98.8,,,,,,
2006,Los Angeles,92,PDI Chronic Composite (Age 6-17),"1,596","1,722,880",92.6,92.6,,,,,,
2007,Los Angeles,92,PDI Chronic Composite (Age 6-17),"1,490","1,687,649",88.3,88.6,,,,,,
2008,Los Angeles,92,PDI Chronic Composite (Age 6-17),"1,375","1,667,244",82.5,82.8,,,,,,
2009,Los Angeles,92,PDI Chronic Composite (Age 6-17),"1,702","1,653,881",102.9,103.2,,,,,,
2010,Los Angeles,92,PDI Chronic Composite (Age 6-17),"1,367","1,641,965",83.3,83.3,,,,,,
2011,Los Angeles,92,PDI Chronic Composite (Age 6-17),"1,435","1,610,744",89.1,89,,,,,,
2012,Los Angeles,92,PDI Chronic Composite (Age 6-17),"1,454","1,577,459",92.2,91.6,,,,,,
2013,Los Angeles,92,PDI Chronic Composite (Age 6-17),"1,430","1,558,015",91.8,91,,,,,,
2014,Los Angeles,92,PDI Chronic Composite (Age 6-17),"1,433","1,554,807",92.2,93,,,,,,
2015,Los Angeles,92,PDI Chronic Composite (Age 6-17),917,"1,130,162",81.1,80,,,,,,
2016,Los Angeles,92,PDI Chronic Composite (Age 6-17),,,,,"1,189","1,499,906",79.3,77.5,,
2017,Los Angeles,92,PDI Chronic Composite (Age 6-17),,,,,780,"1,483,539",52.6,51.4,,
2018,Los Angeles,92,PDI Chronic Composite (Age 6-17),,,,,780,"1,464,565",53.3,52.0,,
2019,Los Angeles,92,PDI Chronic Composite (Age 6-17),,,,,773,"1,445,047",53.5,52.2,,
2020,Los Angeles,92,PDI Chronic Composite (Age 6-17),,,,,416,"1,428,126",29.1,28.4,,
2005,Madera,9,Low Birth Weight (<2500 grams),150,"2,443",61.4,61.3,,,,,,
2006,Madera,9,Low Birth Weight (<2500 grams),135,"2,749",49.1,49,,,,,,
2007,Madera,9,Low Birth Weight (<2500 grams),152,"2,737",55.5,55.5,,,,,,
2008,Madera,9,Low Birth Weight (<2500 grams),162,"2,656",61,61,,,,,,
2009,Madera,9,Low Birth Weight (<2500 grams),151,"2,496",60.5,60.5,,,,,,
2010,Madera,9,Low Birth Weight (<2500 grams),174,"2,528",68.8,68.9,,,,,,
2011,Madera,9,Low Birth Weight (<2500 grams),171,"2,554",67,66.9,,,,,,
2012,Madera,9,Low Birth Weight (<2500 grams),145,"2,341",61.9,61.9,,,,,,
2013,Madera,9,Low Birth Weight (<2500 grams),107,"2,341",45.7,45.7,,,,,,
2014,Madera,9,Low Birth Weight (<2500 grams),125,"2,355",53.1,53.1,,,,,,
2015,Madera,9,Low Birth Weight (<2500 grams),96,"1,722",55.7,55.8,,,,,,
2005,Madera,14,Asthma (Age 2-17),21,"35,669",58.9,57.5,,,,,,
2006,Madera,14,Asthma (Age 2-17),46,"36,550",125.9,123.1,,,,,,
2007,Madera,14,Asthma (Age 2-17),37,"37,022",99.9,97.6,,,,,,
2008,Madera,14,Asthma (Age 2-17),38,"37,564",101.2,98.6,,,,,,
2009,Madera,14,Asthma (Age 2-17),49,"37,724",129.9,126.9,,,,,,
2010,Madera,14,Asthma (Age 2-17),52,"38,221",136.1,132.9,,,,,,
2011,Madera,14,Asthma (Age 2-17),53,"38,224",138.7,134.8,,,,,,
2012,Madera,14,Asthma (Age 2-17),51,"37,872",134.7,130.3,,,,,,
2013,Madera,14,Asthma (Age 2-17),27,"37,783",71.5,69.1,,,,,,
2014,Madera,14,Asthma (Age 2-17),51,"39,567",128.9,124.8,,,,,,
2015,Madera,14,Asthma (Age 2-17),32,"28,017",114.2,110.3,,,,,,
2016,Madera,14,Asthma (Age 2-17),,,,,61,"37,888",161.0,100.0,,
2017,Madera,14,Asthma (Age 2-17),,,,,36,"38,124",94.4,58.7,,
2018,Madera,14,Asthma (Age 2-17),,,,,35,"38,320",91.3,57.0,,
2019,Madera,14,Asthma (Age 2-17),,,,,29,"38,352",75.6,47.4,,
2020,Madera,14,Asthma (Age 2-17),,,,,,,25.9,16.3,1,Cell suppressed for small numbers
2005,Madera,15,Diabetes Short-term Complications (Age 6-17),,,11.2,11,,,,,,
2006,Madera,15,Diabetes Short-term Complications (Age 6-17),,,22,21.5,,,,,,
2007,Madera,15,Diabetes Short-term Complications (Age 6-17),,,25.3,24.8,,,,,,
2008,Madera,15,Diabetes Short-term Complications (Age 6-17),,,21.4,21,,,,,,
2009,Madera,15,Diabetes Short-term Complications (Age 6-17),,,35.5,34.9,,,,,,
2010,Madera,15,Diabetes Short-term Complications (Age 6-17),,,34.9,34.6,,,,,,
2011,Madera,15,Diabetes Short-term Complications (Age 6-17),,,31.4,31.3,,,,,,
2012,Madera,15,Diabetes Short-term Complications (Age 6-17),0,"28,286",0,0,,,,,,
2013,Madera,15,Diabetes Short-term Complications (Age 6-17),,,17.7,17.8,,,,,,
2014,Madera,15,Diabetes Short-term Complications (Age 6-17),,,20.4,20.2,,,,,,
2015,Madera,15,Diabetes Short-term Complications (Age 6-17),,,38.1,38.6,,,,,,
2016,Madera,15,Diabetes Short-term Complications (Age 6-17),,,,,,,7.0,5.6,1,Cell suppressed for small numbers
2017,Madera,15,Diabetes Short-term Complications (Age 6-17),,,,,,,10.4,8.3,1,Cell suppressed for small numbers
2018,Madera,15,Diabetes Short-term Complications (Age 6-17),,,,,,,34.5,27.4,1,Cell suppressed for small numbers
2019,Madera,15,Diabetes Short-term Complications (Age 6-17),,,,,,,27.5,21.8,1,Cell suppressed for small numbers
2020,Madera,15,Diabetes Short-term Complications (Age 6-17),,,,,,,23.7,18.8,1,Cell suppressed for small numbers
2005,Madera,16,Gastroenteritis (Age 3 months-17 years),50,"39,691",126,119.4,,,,,,
2006,Madera,16,Gastroenteritis (Age 3 months-17 years),49,"40,687",120.4,114,,,,,,
2007,Madera,16,Gastroenteritis (Age 3 months-17 years),49,"41,238",118.8,112.1,,,,,,
2008,Madera,16,Gastroenteritis (Age 3 months-17 years),52,"41,839",124.3,117.1,,,,,,
2009,Madera,16,Gastroenteritis (Age 3 months-17 years),27,"41,956",64.4,61,,,,,,
2010,Madera,16,Gastroenteritis (Age 3 months-17 years),21,"42,423",49.5,47.3,,,,,,
2011,Madera,16,Gastroenteritis (Age 3 months-17 years),28,"42,423",66,63,,,,,,
2012,Madera,16,Gastroenteritis (Age 3 months-17 years),18,"42,062",42.8,40.6,,,,,,
2013,Madera,16,Gastroenteritis (Age 3 months-17 years),19,"41,923",45.3,43.2,,,,,,
2014,Madera,16,Gastroenteritis (Age 3 months-17 years),13,"44,044",29.5,27.8,,,,,,
2015,Madera,16,Gastroenteritis (Age 3 months-17 years),20,"31,020",64.5,61.9,,,,,,
2016,Madera,16,Gastroenteritis (Age 3 months-17 years),,,,,23,"41,957",54.8,42.4,,
