Year,County,PQI,PQIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10,RiskAdjRate_ICD10,AnnotationCode,AnnotationDesc
2007,Lassen,92,Prevention Quality Chronic Composite,144,29030,496.0,633.6,,,,,,
2008,Lassen,92,Prevention Quality Chronic Composite,135,28658,471.1,592.6,,,,,,
2009,Lassen,92,Prevention Quality Chronic Composite,140,28696,487.9,604.4,,,,,,
2010,Lassen,92,Prevention Quality Chronic Composite,150,28486,526.6,647.1,,,,,,
2011,Lassen,92,Prevention Quality Chronic Composite,132,28179,468.4,568.8,,,,,,
2012,Lassen,92,Prevention Quality Chronic Composite,122,29146,418.6,518.8,,,,,,
2013,Lassen,92,Prevention Quality Chronic Composite,137,27797,492.9,588.6,,,,,,
2014,Lassen,92,Prevention Quality Chronic Composite,143,29236,489.1,587.1,,,,,,
2015,Lassen,92,Prevention Quality Chronic Composite,116,20747,559.1,657.5,,,,,,
2016,Lassen,92,Prevention Quality Chronic Composite,,,,,139,25378,547.7,549.5047732,,
2017,Lassen,92,Prevention Quality Chronic Composite,,,,,144,25575,563.0,560.5195268,,
2018,Lassen,92,Prevention Quality Chronic Composite,,,,,124,25359,489.0,476.6773535,,
2019,Lassen,92,Prevention Quality Chronic Composite,,,,,121,25378,476.8,455.4661057,,
2020,Lassen,92,Prevention Quality Chronic Composite,,,,,79,24642,320.6,301.069655,,
2016,Lassen,93,Prevention Quality Diabetes Composite,,,,,49,25378,193.1,171.2704336,,
2017,Lassen,93,Prevention Quality Diabetes Composite,,,,,42,25575,164.2,145.5279859,,
2018,Lassen,93,Prevention Quality Diabetes Composite,,,,,48,25359,189.3,167.1561547,,
2019,Lassen,93,Prevention Quality Diabetes Composite,,,,,29,25378,114.3,100.4714027,,
2020,Lassen,93,Prevention Quality Diabetes Composite,,,,,17,24642,69.0,60.4069016,,
2005,Los Angeles,1,Diabetes Short-term Complications,3159,7202516,43.9,42.0,,,,,,
2006,Los Angeles,1,Diabetes Short-term Complications,3329,7208716,46.2,44.3,,,,,,
2007,Los Angeles,1,Diabetes Short-term Complications,3341,7223112,46.3,44.4,,,,,,
2008,Los Angeles,1,Diabetes Short-term Complications,3417,7281072,46.9,45.2,,,,,,
2009,Los Angeles,1,Diabetes Short-term Complications,3360,7353912,45.7,44.0,,,,,,
2010,Los Angeles,1,Diabetes Short-term Complications,3644,7416633,49.1,47.5,,,,,,
2011,Los Angeles,1,Diabetes Short-term Complications,3918,7504083,52.2,50.5,,,,,,
2012,Los Angeles,1,Diabetes Short-term Complications,3899,7317992,53.3,52.7,,,,,,
2013,Los Angeles,1,Diabetes Short-term Complications,3928,7410685,53.0,52.6,,,,,,
2014,Los Angeles,1,Diabetes Short-term Complications,4259,7525122,56.6,55.6,,,,,,
2015,Los Angeles,1,Diabetes Short-term Complications,3186,5622301,56.7,57.1,,,,,,
2016,Los Angeles,1,Diabetes Short-term Complications,,,,,2388,7844956,30.4,28.02418858,,
2017,Los Angeles,1,Diabetes Short-term Complications,,,,,2953,7870676,37.5,34.64534991,,
2018,Los Angeles,1,Diabetes Short-term Complications,,,,,4413,7879584,56.0,51.86925993,,
2019,Los Angeles,1,Diabetes Short-term Complications,,,,,4454,7871889,56.6,52.57589714,,
2020,Los Angeles,1,Diabetes Short-term Complications,,,,,4562,7843569,58.2,54.23825656,,
2005,Los Angeles,2,Perforated Appendix,2219,7719,28.7,31.6,,,,,,
2006,Los Angeles,2,Perforated Appendix,2235,8007,27.9,30.3,,,,,,
2007,Los Angeles,2,Perforated Appendix,2207,8155,27.1,29.5,,,,,,
2008,Los Angeles,2,Perforated Appendix,2208,8467,26.1,28.6,,,,,,
2009,Los Angeles,2,Perforated Appendix,2268,8654,26.2,28.6,,,,,,
2010,Los Angeles,2,Perforated Appendix,2306,8890,25.9,28.3,,,,,,
2011,Los Angeles,2,Perforated Appendix,2240,8923,25.1,27.2,,,,,,
2012,Los Angeles,2,Perforated Appendix,2198,8763,25.1,27.2,,,,,,
2013,Los Angeles,2,Perforated Appendix,2127,7773,27.4,29.2,,,,,,
2014,Los Angeles,2,Perforated Appendix,2238,7843,28.5,29.9,,,,,,
2015,Los Angeles,2,Perforated Appendix,1716,5650,30.4,31.6,,,,,,
2005,Los Angeles,3,Diabetes Long-term Complications,9407,7202516,130.6,150.0,,,,,,
2006,Los Angeles,3,Diabetes Long-term Complications,10040,7208716,139.3,159.0,,,,,,
2007,Los Angeles,3,Diabetes Long-term Complications,10176,7223112,140.9,159.4,,,,,,
2008,Los Angeles,3,Diabetes Long-term Complications,10399,7281072,142.8,160.4,,,,,,
2009,Los Angeles,3,Diabetes Long-term Complications,10176,7353912,138.4,154.3,,,,,,
2010,Los Angeles,3,Diabetes Long-term Complications,10150,7416633,136.9,151.4,,,,,,
2011,Los Angeles,3,Diabetes Long-term Complications,10099,7504083,134.6,147.9,,,,,,
2012,Los Angeles,3,Diabetes Long-term Complications,9991,7317992,136.5,144.0,,,,,,
2013,Los Angeles,3,Diabetes Long-term Complications,9493,7410685,128.1,134.3,,,,,,
2014,Los Angeles,3,Diabetes Long-term Complications,8977,7525122,119.3,126.3,,,,,,
2015,Los Angeles,3,Diabetes Long-term Complications,6909,5622301,122.9,125.0,,,,,,
2016,Los Angeles,3,Diabetes Long-term Complications,,,,,6766,7844956,86.2,87.09733799,,
2017,Los Angeles,3,Diabetes Long-term Complications,,,,,7969,7870676,101.2,101.4609588,,
2018,Los Angeles,3,Diabetes Long-term Complications,,,,,7865,7879584,99.8,99.27419813,,
2019,Los Angeles,3,Diabetes Long-term Complications,,,,,8317,7871889,105.7,104.2127671,,
2020,Los Angeles,3,Diabetes Long-term Complications,,,,,6943,7843569,88.5,86.49459743,,
2005,Los Angeles,5,COPD or Asthma in Older Adults (Age 40+),17733,3895897,455.2,495.6,,,,,,
2006,Los Angeles,5,COPD or Asthma in Older Adults (Age 40+),15657,3930942,398.3,433.7,,,,,,
2007,Los Angeles,5,COPD or Asthma in Older Adults (Age 40+),15789,3973844,397.3,430.2,,,,,,
2008,Los Angeles,5,COPD or Asthma in Older Adults (Age 40+),18193,4034932,450.9,485.8,,,,,,
2009,Los Angeles,5,COPD or Asthma in Older Adults (Age 40+),18714,4104830,455.9,489.0,,,,,,
2010,Los Angeles,5,COPD or Asthma in Older Adults (Age 40+),18130,4176020,434.1,463.6,,,,,,
2011,Los Angeles,5,COPD or Asthma in Older Adults (Age 40+),17948,4251648,422.1,448.5,,,,,,
2012,Los Angeles,5,COPD or Asthma in Older Adults (Age 40+),16512,4323806,381.9,402.5,,,,,,
2013,Los Angeles,5,COPD or Asthma in Older Adults (Age 40+),15961,4389833,363.6,379.6,,,,,,
2014,Los Angeles,5,COPD or Asthma in Older Adults (Age 40+),14600,4442974,328.6,346.7,,,,,,
2015,Los Angeles,5,COPD or Asthma in Older Adults (Age 40+),11295,3420626,330.2,339.9,,,,,,
2016,Los Angeles,5,COPD or Asthma in Older Adults (Age 40+),,,,,13444,4520586,297.4,321.6096568,,
2017,Los Angeles,5,COPD or Asthma in Older Adults (Age 40+),,,,,13249,4552423,291.0,311.4632118,,
2018,Los Angeles,5,COPD or Asthma in Older Adults (Age 40+),,,,,10503,4573459,229.7,243.1597203,,
2019,Los Angeles,5,COPD or Asthma in Older Adults (Age 40+),,,,,10050,4589529,219.0,229.3553429,,
2020,Los Angeles,5,COPD or Asthma in Older Adults (Age 40+),,,,,5910,4604086,128.4,133.2271826,,
2005,Los Angeles,7,Hypertension,2776,7202516,38.5,44.2,,,,,,
2006,Los Angeles,7,Hypertension,2796,7208716,38.8,44.2,,,,,,
2007,Los Angeles,7,Hypertension,3534,7223112,48.9,55.3,,,,,,
2008,Los Angeles,7,Hypertension,3665,7281072,50.3,56.5,,,,,,
2009,Los Angeles,7,Hypertension,3903,7353912,53.1,59.2,,,,,,
2010,Los Angeles,7,Hypertension,3975,7416633,53.6,59.4,,,,,,
2011,Los Angeles,7,Hypertension,3658,7504083,48.7,53.7,,,,,,
2012,Los Angeles,7,Hypertension,3583,7317992,49.0,51.7,,,,,,
2013,Los Angeles,7,Hypertension,3356,7410685,45.3,47.6,,,,,,
2014,Los Angeles,7,Hypertension,3288,7525122,43.7,46.4,,,,,,
2015,Los Angeles,7,Hypertension,2584,5622301,46.0,46.9,,,,,,
2016,Los Angeles,7,Hypertension,,,,,3285,7844956,41.9,42.37928059,,
2017,Los Angeles,7,Hypertension,,,,,3901,7870676,49.6,49.78156772,,
2018,Los Angeles,7,Hypertension,,,,,4001,7879584,50.8,50.61273822,,
2019,Los Angeles,7,Hypertension,,,,,3980,7871889,50.6,49.9649013,,
2020,Los Angeles,7,Hypertension,,,,,3068,7843569,39.1,38.29446759,,
2005,Los Angeles,8,Heart Failure,27897,7202516,387.3,488.3,,,,,,
2006,Los Angeles,8,Heart Failure,27617,7208716,383.1,478.8,,,,,,
2007,Los Angeles,8,Heart Failure,26609,7223112,368.4,452.8,,,,,,
2008,Los Angeles,8,Heart Failure,25246,7281072,346.7,420.6,,,,,,
2009,Los Angeles,8,Heart Failure,25437,7353912,345.9,414.4,,,,,,
2010,Los Angeles,8,Heart Failure,25147,7416633,339.1,400.3,,,,,,
2011,Los Angeles,8,Heart Failure,24769,7504083,330.1,384.4,,,,,,
2012,Los Angeles,8,Heart Failure,23014,7317992,314.5,348.8,,,,,,
2013,Los Angeles,8,Heart Failure,22273,7410685,300.6,329.0,,,,,,
2014,Los Angeles,8,Heart Failure,21904,7525122,291.1,323.0,,,,,,
2015,Los Angeles,8,Heart Failure,18181,5622301,323.4,339.7,,,,,,
2016,Los Angeles,8,Heart Failure,,,,,24900,7844956,317.4,346.924177,,
2017,Los Angeles,8,Heart Failure,,,,,26170,7870676,332.5,357.8559685,,
2018,Los Angeles,8,Heart Failure,,,,,26585,7879584,337.4,357.4553354,,
2019,Los Angeles,8,Heart Failure,,,,,27965,7871889,355.3,369.881142,,
2020,Los Angeles,8,Heart Failure,,,,,22210,7843569,283.2,289.8440818,,
2005,Los Angeles,10,Dehydration,8298,7202516,115.2,138.8,,,,,,
2006,Los Angeles,10,Dehydration,9096,7208716,126.2,151.0,,,,,,
2007,Los Angeles,10,Dehydration,10058,7223112,139.2,164.5,,,,,,
2008,Los Angeles,10,Dehydration,9912,7281072,136.1,159.2,,,,,,
2009,Los Angeles,10,Dehydration,8787,7353912,119.5,138.4,,,,,,
2010,Los Angeles,10,Dehydration,8150,7416633,109.9,125.9,,,,,,
2011,Los Angeles,10,Dehydration,8755,7504083,116.7,132.2,,,,,,
2012,Los Angeles,10,Dehydration,8600,7317992,117.5,128.0,,,,,,
2013,Los Angeles,10,Dehydration,7702,7410685,103.9,112.0,,,,,,
2014,Los Angeles,10,Dehydration,7542,7525122,100.2,109.3,,,,,,
2015,Los Angeles,10,Dehydration,5759,5622301,102.4,106.7,,,,,,
2005,Los Angeles,11,Community-Acquired Pneumonia,21628,7202516,300.3,364.2,,,,,,
2006,Los Angeles,11,Community-Acquired Pneumonia,17845,7208716,247.5,298.1,,,,,,
2007,Los Angeles,11,Community-Acquired Pneumonia,17060,7223112,236.2,280.7,,,,,,
2008,Los Angeles,11,Community-Acquired Pneumonia,16779,7281072,230.4,270.9,,,,,,
2009,Los Angeles,11,Community-Acquired Pneumonia,16085,7353912,218.7,254.6,,,,,,
2010,Los Angeles,11,Community-Acquired Pneumonia,15373,7416633,207.3,238.4,,,,,,
2011,Los Angeles,11,Community-Acquired Pneumonia,15247,7504083,203.2,231.1,,,,,,
2012,Los Angeles,11,Community-Acquired Pneumonia,13560,7317992,185.3,202.1,,,,,,
2013,Los Angeles,11,Community-Acquired Pneumonia,12954,7410685,174.8,188.6,,,,,,
2014,Los Angeles,11,Community-Acquired Pneumonia,11407,7525122,151.6,165.5,,,,,,
2015,Los Angeles,11,Community-Acquired Pneumonia,8893,5622301,158.2,164.7,,,,,,
2016,Los Angeles,11,Community-Acquired Pneumonia,,,,,10538,7844956,134.3,156.3992222,,
2017,Los Angeles,11,Community-Acquired Pneumonia,,,,,7719,7870676,98.1,112.600131,,
2018,Los Angeles,11,Community-Acquired Pneumonia,,,,,7548,7879584,95.8,108.4256074,,
2019,Los Angeles,11,Community-Acquired Pneumonia,,,,,7467,7871889,94.9,105.6844639,,
2020,Los Angeles,11,Community-Acquired Pneumonia,,,,,5577,7843569,71.1,78.00503346,,
2005,Los Angeles,12,Urinary Tract Infection,11656,7202516,161.8,191.8,,,,,,
2006,Los Angeles,12,Urinary Tract Infection,11712,7208716,162.5,191.5,,,,,,
2007,Los Angeles,12,Urinary Tract Infection,12450,7223112,172.4,200.9,,,,,,
2008,Los Angeles,12,Urinary Tract Infection,12821,7281072,176.1,203.5,,,,,,
2009,Los Angeles,12,Urinary Tract Infection,13115,7353912,178.3,204.4,,,,,,
2010,Los Angeles,12,Urinary Tract Infection,13007,7416633,175.4,199.0,,,,,,
2011,Los Angeles,12,Urinary Tract Infection,12819,7504083,170.8,191.9,,,,,,
2012,Los Angeles,12,Urinary Tract Infection,12773,7317992,174.5,189.7,,,,,,
2013,Los Angeles,12,Urinary Tract Infection,11671,7410685,157.5,169.6,,,,,,
2014,Los Angeles,12,Urinary Tract Infection,11462,7525122,152.3,165.7,,,,,,
2015,Los Angeles,12,Urinary Tract Infection,8473,5622301,150.7,157.6,,,,,,
2016,Los Angeles,12,Urinary Tract Infection,,,,,10206,7844956,130.1,147.1113374,,
2017,Los Angeles,12,Urinary Tract Infection,,,,,8552,7870676,108.7,121.1922992,,
2018,Los Angeles,12,Urinary Tract Infection,,,,,7911,7879584,100.4,110.4047906,,
2019,Los Angeles,12,Urinary Tract Infection,,,,,7865,7871889,99.9,108.140765,,
2020,Los Angeles,12,Urinary Tract Infection,,,,,5207,7843569,66.4,70.78414899,,
2005,Los Angeles,13,Angina without Procedure,3028,7202516,42.0,50.1,,,,,,
2006,Los Angeles,13,Angina without Procedure,2730,7208716,37.9,44.7,,,,,,
2007,Los Angeles,13,Angina without Procedure,2444,7223112,33.8,39.5,,,,,,
2008,Los Angeles,13,Angina without Procedure,2277,7281072,31.3,36.1,,,,,,
2009,Los Angeles,13,Angina without Procedure,2155,7353912,29.3,33.5,,,,,,
2010,Los Angeles,13,Angina without Procedure,2270,7416633,30.6,34.6,,,,,,
2011,Los Angeles,13,Angina without Procedure,2211,7504083,29.5,33.1,,,,,,
2012,Los Angeles,13,Angina without Procedure,1878,7317992,25.7,27.5,,,,,,
2013,Los Angeles,13,Angina without Procedure,1699,7410685,22.9,24.4,,,,,,
2014,Los Angeles,13,Angina without Procedure,1490,7525122,19.8,21.3,,,,,,
2015,Los Angeles,13,Angina without Procedure,1108,5622301,19.7,20.3,,,,,,
2005,Los Angeles,14,Uncontrolled Diabetes,1420,7202516,19.7,21.6,,,,,,
2006,Los Angeles,14,Uncontrolled Diabetes,1298,7208716,18.0,19.7,,,,,,
2007,Los Angeles,14,Uncontrolled Diabetes,1470,7223112,20.4,22.1,,,,,,
2008,Los Angeles,14,Uncontrolled Diabetes,1434,7281072,19.7,21.3,,,,,,
2009,Los Angeles,14,Uncontrolled Diabetes,1393,7353912,18.9,20.4,,,,,,
2010,Los Angeles,14,Uncontrolled Diabetes,1390,7416633,18.7,20.1,,,,,,
2011,Los Angeles,14,Uncontrolled Diabetes,1324,7504083,17.6,18.8,,,,,,
2012,Los Angeles,14,Uncontrolled Diabetes,1198,7317992,16.4,16.9,,,,,,
2013,Los Angeles,14,Uncontrolled Diabetes,1128,7410685,15.2,15.7,,,,,,
2014,Los Angeles,14,Uncontrolled Diabetes,933,7525122,12.4,12.9,,,,,,
2015,Los Angeles,14,Uncontrolled Diabetes,669,5622301,11.9,12.0,,,,,,
2016,Los Angeles,14,Uncontrolled Diabetes,,,,,3226,7844956,41.1,41.49465274,,
2017,Los Angeles,14,Uncontrolled Diabetes,,,,,3128,7870676,39.7,39.73398949,,
2018,Los Angeles,14,Uncontrolled Diabetes,,,,,2935,7879584,37.2,36.89637356,,
2019,Los Angeles,14,Uncontrolled Diabetes,,,,,2890,7871889,36.7,35.99730925,,
2020,Los Angeles,14,Uncontrolled Diabetes,,,,,2363,7843569,30.1,29.22289422,,
2005,Los Angeles,15,Asthma in Younger Adults (Age 18-39),1273,3306619,38.5,38.2,,,,,,
2006,Los Angeles,15,Asthma in Younger Adults (Age 18-39),1026,3277774,31.3,31.1,,,,,,
2007,Los Angeles,15,Asthma in Younger Adults (Age 18-39),1018,3249268,31.3,31.2,,,,,,
2008,Los Angeles,15,Asthma in Younger Adults (Age 18-39),1036,3246140,31.9,31.8,,,,,,
2009,Los Angeles,15,Asthma in Younger Adults (Age 18-39),1285,3249082,39.5,39.5,,,,,,
2010,Los Angeles,15,Asthma in Younger Adults (Age 18-39),1052,3240613,32.5,32.5,,,,,,
2011,Los Angeles,15,Asthma in Younger Adults (Age 18-39),984,3252435,30.3,30.4,,,,,,
2012,Los Angeles,15,Asthma in Younger Adults (Age 18-39),1036,2994186,34.6,34.1,,,,,,
2013,Los Angeles,15,Asthma in Younger Adults (Age 18-39),1011,3020852,33.5,33.0,,,,,,
2014,Los Angeles,15,Asthma in Younger Adults (Age 18-39),911,3082148,29.6,29.4,,,,,,
2015,Los Angeles,15,Asthma in Younger Adults (Age 18-39),679,2201675,30.8,30.1,,,,,,
2016,Los Angeles,15,Asthma in Younger Adults (Age 18-39),,,,,812,3324370,24.4,24.46350277,,
2017,Los Angeles,15,Asthma in Younger Adults (Age 18-39),,,,,659,3318253,19.9,19.85593895,,
2018,Los Angeles,15,Asthma in Younger Adults (Age 18-39),,,,,628,3306125,19.0,18.95363325,,
2019,Los Angeles,15,Asthma in Younger Adults (Age 18-39),,,,,747,3282360,22.8,22.66072625,,
2020,Los Angeles,15,Asthma in Younger Adults (Age 18-39),,,,,441,3239483,13.6,13.52148454,,
2005,Los Angeles,16,Lower-Extremity Amputation (Diabetes),1194,7202516,16.6,20.5,,,,,,
2006,Los Angeles,16,Lower-Extremity Amputation (Diabetes),1270,7208716,17.6,21.5,,,,,,
2007,Los Angeles,16,Lower-Extremity Amputation (Diabetes),1156,7223112,16.0,19.3,,,,,,
2008,Los Angeles,16,Lower-Extremity Amputation (Diabetes),1101,7281072,15.1,18.0,,,,,,
2009,Los Angeles,16,Lower-Extremity Amputation (Diabetes),982,7353912,13.4,15.7,,,,,,
2010,Los Angeles,16,Lower-Extremity Amputation (Diabetes),966,7416633,13.0,15.1,,,,,,
2011,Los Angeles,16,Lower-Extremity Amputation (Diabetes),1033,7504083,13.8,15.8,,,,,,
2012,Los Angeles,16,Lower-Extremity Amputation (Diabetes),1084,7317992,14.8,16.2,,,,,,
2013,Los Angeles,16,Lower-Extremity Amputation (Diabetes),1019,7410685,13.8,14.9,,,,,,
2014,Los Angeles,16,Lower-Extremity Amputation (Diabetes),1106,7525122,14.7,16.1,,,,,,
2015,Los Angeles,16,Lower-Extremity Amputation (Diabetes),874,5622301,15.5,16.1,,,,,,
2016,Los Angeles,16,Lower-Extremity Amputation (Diabetes),,,,,1683,7844956,21.5,23.37081463,,
2017,Los Angeles,16,Lower-Extremity Amputation (Diabetes),,,,,1806,7870676,22.9,24.75795133,,
2018,Los Angeles,16,Lower-Extremity Amputation (Diabetes),,,,,1800,7879584,22.8,24.41595567,,
2019,Los Angeles,16,Lower-Extremity Amputation (Diabetes),,,,,1994,7871889,25.3,26.79471812,,
2020,Los Angeles,16,Lower-Extremity Amputation (Diabetes),,,,,2092,7843569,26.7,27.88943429,,
2005,Los Angeles,90,Prevention Quality Overall Composite,108876,7202516,1511.6,1807.7,,,,,,
2006,Los Angeles,90,Prevention Quality Overall Composite,103749,7208716,1439.2,1710.0,,,,,,
2007,Los Angeles,90,Prevention Quality Overall Composite,104509,7223112,1446.9,1698.4,,,,,,
2008,Los Angeles,90,Prevention Quality Overall Composite,105696,7281072,1451.7,1687.5,,,,,,
2009,Los Angeles,90,Prevention Quality Overall Composite,104903,7353912,1426.5,1642.9,,,,,,
2010,Los Angeles,90,Prevention Quality Overall Composite,102777,7416633,1385.8,1578.9,,,,,,
2011,Los Angeles,90,Prevention Quality Overall Composite,102246,7504083,1362.5,1537.2,,,,,,
2012,Los Angeles,90,Prevention Quality Overall Composite,96589,7317992,1319.9,1431.7,,,,,,
2013,Los Angeles,90,Prevention Quality Overall Composite,91670,7410685,1237.0,1328.6,,,,,,
2014,Los Angeles,90,Prevention Quality Overall Composite,87367,7525122,1161.0,1260.7,,,,,,
2015,Los Angeles,90,Prevention Quality Overall Composite,68199,5622301,1213.0,1260.6,,,,,,
2016,Los Angeles,90,Prevention Quality Overall Composite,,,,,76465,7844956,974.7,1060.412516,,
2017,Los Angeles,90,Prevention Quality Overall Composite,,,,,75146,7870676,954.8,1026.318837,,
2018,Los Angeles,90,Prevention Quality Overall Composite,,,,,73215,7879584,929.2,986.7103615,,
2019,Los Angeles,90,Prevention Quality Overall Composite,,,,,74642,7871889,948.2,993.4422056,,
2020,Los Angeles,90,Prevention Quality Overall Composite,,,,,57226,7843569,729.6,754.1724807,,
2005,Los Angeles,91,Prevention Quality Acute Composite,41582,7202516,577.3,694.2,,,,,,
2006,Los Angeles,91,Prevention Quality Acute Composite,38653,7208716,536.2,640.6,,,,,,
2007,Los Angeles,91,Prevention Quality Acute Composite,39568,7223112,547.8,646.3,,,,,,
2008,Los Angeles,91,Prevention Quality Acute Composite,39512,7281072,542.7,633.9,,,,,,
2009,Los Angeles,91,Prevention Quality Acute Composite,37987,7353912,516.6,597.7,,,,,,
2010,Los Angeles,91,Prevention Quality Acute Composite,36530,7416633,492.5,563.6,,,,,,
2011,Los Angeles,91,Prevention Quality Acute Composite,36821,7504083,490.7,555.6,,,,,,
2012,Los Angeles,91,Prevention Quality Acute Composite,34933,7317992,477.4,519.9,,,,,,
2013,Los Angeles,91,Prevention Quality Acute Composite,32327,7410685,436.2,470.3,,,,,,
2014,Los Angeles,91,Prevention Quality Acute Composite,30411,7525122,404.1,440.6,,,,,,
2015,Los Angeles,91,Prevention Quality Acute Composite,23125,5622301,411.3,428.9,,,,,,
2016,Los Angeles,91,Prevention Quality Acute Composite,,,,,20744,7844956,264.4,304.092373,,
2017,Los Angeles,91,Prevention Quality Acute Composite,,,,,16271,7870676,206.7,234.4645251,,
2018,Los Angeles,91,Prevention Quality Acute Composite,,,,,15459,7879584,196.2,219.3700668,,
2019,Los Angeles,91,Prevention Quality Acute Composite,,,,,15332,7871889,194.8,214.3611473,,
2020,Los Angeles,91,Prevention Quality Acute Composite,,,,,10784,7843569,137.5,149.028321,,
2005,Los Angeles,92,Prevention Quality Chronic Composite,67297,7202516,934.4,1113.6,,,,,,
2006,Los Angeles,92,Prevention Quality Chronic Composite,65100,7208716,903.1,1069.3,,,,,,
2007,Los Angeles,92,Prevention Quality Chronic Composite,64946,7223112,899.1,1052.2,,,,,,
2008,Los Angeles,92,Prevention Quality Chronic Composite,66188,7281072,909.0,1053.5,,,,,,
2009,Los Angeles,92,Prevention Quality Chronic Composite,66917,7353912,910.0,1044.9,,,,,,
2010,Los Angeles,92,Prevention Quality Chronic Composite,66249,7416633,893.2,1015.0,,,,,,
2011,Los Angeles,92,Prevention Quality Chronic Composite,65427,7504083,871.9,981.4,,,,,,
2012,Los Angeles,92,Prevention Quality Chronic Composite,61659,7317992,842.6,911.6,,,,,,
2013,Los Angeles,92,Prevention Quality Chronic Composite,59343,7410685,800.8,858.1,,,,,,
2014,Los Angeles,92,Prevention Quality Chronic Composite,56958,7525122,756.9,819.9,,,,,,
2015,Los Angeles,92,Prevention Quality Chronic Composite,45074,5622301,801.7,831.4,,,,,,
2016,Los Angeles,92,Prevention Quality Chronic Composite,,,,,55722,7844956,710.3,759.1854826,,
2017,Los Angeles,92,Prevention Quality Chronic Composite,,,,,58875,7870676,748.0,790.453769,,
2018,Los Angeles,92,Prevention Quality Chronic Composite,,,,,57756,7879584,733.0,765.6629783,,
2019,Los Angeles,92,Prevention Quality Chronic Composite,,,,,59310,7871889,753.4,777.0787742,,
2020,Los Angeles,92,Prevention Quality Chronic Composite,,,,,46442,7843569,592.1,602.8594347,,
2016,Los Angeles,93,Prevention Quality Diabetes Composite,,,,,13285,7844956,169.3,166.3755117,,
2017,Los Angeles,93,Prevention Quality Diabetes Composite,,,,,14904,7870676,189.4,185.2501725,,
2018,Los Angeles,93,Prevention Quality Diabetes Composite,,,,,16046,7879584,203.6,198.3823475,,
2019,Los Angeles,93,Prevention Quality Diabetes Composite,,,,,16572,7871889,210.5,204.1329854,,
2020,Los Angeles,93,Prevention Quality Diabetes Composite,,,,,14822,7843569,189.0,182.2784591,,
2005,Madera,1,Diabetes Short-term Complications,80,100047,80.0,77.7,,,,,,
2006,Madera,1,Diabetes Short-term Complications,55,102344,53.7,52.3,,,,,,
2007,Madera,1,Diabetes Short-term Complications,43,104227,41.3,40.2,,,,,,
2008,Madera,1,Diabetes Short-term Complications,43,105909,40.6,39.6,,,,,,
2009,Madera,1,Diabetes Short-term Complications,44,106674,41.2,40.3,,,,,,
2010,Madera,1,Diabetes Short-term Complications,54,108385,49.8,48.6,,,,,,
2011,Madera,1,Diabetes Short-term Complications,68,109902,61.9,60.5,,,,,,
2012,Madera,1,Diabetes Short-term Complications,64,106934,59.9,59.4,,,,,,
2013,Madera,1,Diabetes Short-term Complications,76,107252,70.9,70.5,,,,,,
2014,Madera,1,Diabetes Short-term Complications,75,113845,65.9,65.0,,,,,,
2015,Madera,1,Diabetes Short-term Complications,46,81407,56.5,56.9,,,,,,
2016,Madera,1,Diabetes Short-term Complications,,,,,42,111156,37.8,26.59484401,,
2017,Madera,1,Diabetes Short-term Complications,,,,,44,112306,39.2,27.63734531,,
2018,Madera,1,Diabetes Short-term Complications,,,,,74,113445,65.2,46.07834095,,
2019,Madera,1,Diabetes Short-term Complications,,,,,81,113829,71.2,50.41594916,,
2020,Madera,1,Diabetes Short-term Complications,,,,,78,114677,68.0,48.28738559,,
2005,Madera,2,Perforated Appendix,33,103,32.0,32.7,,,,,,
2006,Madera,2,Perforated Appendix,31,101,30.7,32.0,,,,,,
2007,Madera,2,Perforated Appendix,26,104,25.0,26.4,,,,,,
2008,Madera,2,Perforated Appendix,37,121,30.6,33.4,,,,,,
2009,Madera,2,Perforated Appendix,26,90,28.9,31.8,,,,,,
2010,Madera,2,Perforated Appendix,29,104,27.9,29.9,,,,,,
2011,Madera,2,Perforated Appendix,26,101,25.7,27.4,,,,,,
2012,Madera,2,Perforated Appendix,23,98,23.5,25.6,,,,,,
2013,Madera,2,Perforated Appendix,35,88,39.8,39.6,,,,,,
2014,Madera,2,Perforated Appendix,36,84,42.9,43.9,,,,,,
2015,Madera,2,Perforated Appendix,31,70,44.3,46.2,,,,,,
2005,Madera,3,Diabetes Long-term Complications,91,100047,91.0,99.2,,,,,,
2006,Madera,3,Diabetes Long-term Complications,85,102344,83.1,90.5,,,,,,
2007,Madera,3,Diabetes Long-term Complications,94,104227,90.2,97.7,,,,,,
2008,Madera,3,Diabetes Long-term Complications,109,105909,102.9,111.2,,,,,,
2009,Madera,3,Diabetes Long-term Complications,98,106674,91.9,98.7,,,,,,
2010,Madera,3,Diabetes Long-term Complications,80,108385,73.8,79.2,,,,,,
2011,Madera,3,Diabetes Long-term Complications,95,109902,86.4,92.4,,,,,,
2012,Madera,3,Diabetes Long-term Complications,76,106934,71.1,73.5,,,,,,
2013,Madera,3,Diabetes Long-term Complications,94,107252,87.6,89.9,,,,,,
2014,Madera,3,Diabetes Long-term Complications,108,113845,94.9,99.0,,,,,,
2015,Madera,3,Diabetes Long-term Complications,90,81407,110.6,111.0,,,,,,
2016,Madera,3,Diabetes Long-term Complications,,,,,101,111156,90.9,64.02526413,,
