APN,PROJECT NUMBER,NAME,DEVELOPMENT STAGE,CONSTRUCTION TYPE,SITE ADDRESS,SITE  COUNCIL DISTRICT,SITE #,SITE COMMUNITY,SITE UNITS,PROJECT TOTAL UNITS,HOUSING TYPE,SUPPORTIVE HOUSING,DATE FUNDED,LAHD FUNDED,LEVERAGE,TAX EXEMPT CONDUIT BOND,TDC,IN-SERVICE DATE,DEVELOPER,MANAGEMENT COMPANY,CONTACT PHONE,PHOTO,JOBS,PROJECT SUMMARY URL,CONTRACT NUMBERS,DATE STAMP,SITE LONGITUDE,SITE LATITUDE,GPS_COORDS ON MAP
6022009004,05-117217,LEXINGTON APARTMENTS A/B (SITE 7),In-Service,REHAB,"7219 S SAN PEDRO ST  Los Angeles, CA 90003",9,7,FLORENCE-FIRESTONE,0,251,FAMILY,No,12/28/2005,0,6771719,10247566,17019285,2006,"1755 EFM 2, LLC","ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=05-117217&LutSiteCD=7),,2/7/2022,-118.26973,33.97405,POINT (-118.26973 33.97405)
5005030026,14-121638,MIRAGE TOWN HOMES,In-Service,NEW CONSTRUCTION,"5221 S WESTERN AVE  Los Angeles, CA 90062",8,1,WEST VERNON,21,21,FAMILY,No,03/01/2016,0,7064953,0,7064953,2017,Leela Enterprises,BUCKINGHAM PROPERTY MANAGEMENT,(559) 452-8250,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),57,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=14-121638&LutSiteCD=1),,2/7/2022,-118.30909,33.9944,POINT (-118.30909 33.9944)
6046021917,18-125460,JORDAN DOWNS PHASE S3,Development,NEW CONSTRUCTION,"2101 E 101ST ST  Los Angeles, CA 90002",15,1,WATTS,92,92,FAMILY,No,03/23/2020,0,60686295,0,60686295,Development,"The Michaels Development Company I, L.P.",INTERSTATE REALTY MANAGEMENT COMPANY,(916) 883-1100,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-125460&LutSiteCD=1),,2/7/2022,-118.23227,33.94415,POINT (-118.23227 33.94415)
5072036002,60064,SECOND AVENUE APARTMENTS,In-Service,REHAB,"1309 S 2ND AVE  Los Angeles, CA 90019",10,1,VICTORIA PARK,20,20,SENIORS,No,01/23/2007,350829,3049057,0,3399886,2007,"SECOND AVENUE PRESERVATION, L.P.",PRESERVATION PARTNERS MANAGEMENT GROUP,(310) 802-6673,click here (http://hcidapp.lacity.org/mpphotos/060064/Photo/Website/Second%20Avenue%20-%20060064.jpg),14,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=060064&LutSiteCD=1),C-111219,2/7/2022,-118.31909,34.04683,POINT (-118.31909 34.04683)
5050001027,15-122550,CRENSHAW VILLAS,In-Service,NEW CONSTRUCTION,"2631 1/2 S CRENSHAW BLVD  Los Angeles, CA 90016",10,1,CRENSHAW DISTRICT,50,50,SENIORS,No,11/30/2016,5017000,21631015,0,26648015,2018,"American Communities, LLC",THE JOHN STEWART COMPANY,(213) 833-1860,click here (http://hcidapp.lacity.org/mpphotos/15-122550/Photo/Website/Crenshaw%20Villas.JPG),204,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=15-122550&LutSiteCD=1),"C-126985,C-128619",2/7/2022,-118.33538,34.03151,POINT (-118.33538 34.03151)
5078026028,11-118571,LA PRO II (SITE 2),In-Service,N/A,"1100 S BERENDO ST  Los Angeles, CA 90006",1,2,KOREATOWN,0,123,N/A,No,03/21/2012,2000000,31674331,0,33674331,2013,LA Pro II Preservation Limited Partnership,PRESERVATION PARTNERS MANAGEMENT GROUP,(310) 802-6671,click here (http://hcidapp.lacity.org/mpphotos/11-118571/Photo/Website%20Site2/la%20pro%20ii%2011-118571d.JPG),208,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=11-118571&LutSiteCD=2),C-120242,2/7/2022,-118.29357,34.05071,POINT (-118.29357 34.05071)
2654002169,40071,WOODLAND TERRACE,In-Service,NEW CONSTRUCTION,"15532 W NORDHOFF ST  North Hills, CA 91343",7,1,NORTH HILLS,31,31,SPECIAL NEEDS,Yes,01/31/2006,1758184,10482585,0,12240769,2007,"A COMMUNITY OF FRIENDS,","BARKER MANAGEMENT, INC.",(213) 725-2897,click here (http://hcidapp.lacity.org/mpphotos/040071/Photo/Website/CD%207%20-%20Woodland%20Terrace.JPG),80,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=040071&LutSiteCD=1),C-109478,2/7/2022,-118.4709,34.23538,POINT (-118.4709 34.23538)
5426016003,80057,VENDOME PALMS,In-Service,REHAB,"975 N VENDOME ST 1-36  Los Angeles, CA 90026",13,1,TEMPLE-BEAUDRY,36,36,SPECIAL NEEDS,Yes,09/07/2010,2832750,11031113,0,13863863,2011,"A COMMUNITY OF FRIENDS,",BARKER MANAGEMENT INCORPORATED,(213) 822-6662,click here (http://hcidapp.lacity.org/mpphotos/080057/Photo/Website/Vendome-Palms_overs-639x312.png),75,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=080057&LutSiteCD=1),C-117828,2/7/2022,-118.27465,34.08417,POINT (-118.27465 34.08417)
5148019011,12-118778,NEW PERSHING APARTMENTS,In-Service,REHAB,"108 E 5TH ST 1-69  Los Angeles, CA 90013",14,1,DOWNTOWN,69,69,SPECIAL NEEDS,Yes,04/02/2013,3500000,28113821,0,31613821,2015,Skid Row Housing Trust,SRHT PROPERTY MANAGEMENT COMPANY,(213) 683-0522,click here (http://hcidapp.lacity.org/mpphotos/12-118778/Photo/Website/12-118778.jpg),264,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=12-118778&LutSiteCD=1),C-121978,2/7/2022,-118.2484,34.04636,POINT (-118.2484 34.04636)
6046019903,18-124880,JORDAN DOWNS AREA H (PH 2B),Development,NEW CONSTRUCTION,"2062 E 99TH PL  Los Angeles, CA 90002",15,1,WATTS,80,80,FAMILY,No,01/09/2020,0,43068874,0,43068874,Development,BRIDGE Housing Corporation,INTERSTATE REALTY MANAGEMENT,(209) 334-6565,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-124880&LutSiteCD=1),,2/7/2022,-118.23653,33.94596,POINT (-118.23653 33.94596)
5534009030,60005,BRONSON COURTS,In-Service,NEW CONSTRUCTION,"1229 N BRONSON AVE 1-32  HOLLYWOOD, CA 90038",13,1,HOLLYWOOD,32,32,FAMILY,No,11/26/2006,2240000,11494453,0,13734453,2008,"LOS ANGELES HOUSING PARTNERSHIP,",BARKER MANAGEMENT INC,N/A,click here (http://hcidapp.lacity.org/mpphotos/060005/Photo/Website/CD%2013%20-%20Bronson%20Court.jpg),86,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=060005&LutSiteCD=1),C-110877,2/7/2022,-118.3181,34.09365,POINT (-118.3181 34.09365)
5041023022,15-122549,METRO AT WESTERN,In-Service,NEW CONSTRUCTION,"3651 S WESTERN AVE  Los Angeles, CA 90018",8,1,EXPOSITION PARK,33,33,SPECIAL NEEDS,Yes,12/01/2017,0,20370076,0,20370076,2019,Meta Housing Corporation,SOLARI ENTERPRISES INC.,(714) 282-2520,click here (http://hcidapp.lacity.org/mpphotos/15-122549/Photo/Website/P8210493.JPG),129,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=15-122549&LutSiteCD=1),,2/7/2022,-118.30928,34.02168,POINT (-118.30928 34.02168)
5119002017,05-117217,LEXINGTON APARTMENTS A/B (SITE 12),In-Service,REHAB,"1386 E 20TH ST  Los Angeles, CA 90011",9,12,CENTRAL,0,251,FAMILY,No,12/28/2005,0,6771719,10247566,17019285,2006,"1755 EFM 2, LLC","ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=05-117217&LutSiteCD=12),,2/7/2022,-118.24932,34.02167,POINT (-118.24932 34.02167)
5141024013,60006,CARONDELET COURT APT HOMES,In-Service,NEW CONSTRUCTION,"816 S CARONDELET ST 1-33  Los Angeles, CA 90057",1,1,WESTLAKE,33,33,FAMILY,No,11/15/2006,2587880,10716545,0,13304425,2009,"AMERICAN COMMUNITIES, LLC",THE JOHN STEWART COMPANY,(213) 384-3118,click here (http://hcidapp.lacity.org/mpphotos/060006/Photo/Website/CD%201%20-%20Carondelet%20Court.JPG),78,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=060006&LutSiteCD=1),C-110874,2/7/2022,-118.28229,34.05618,POINT (-118.28229 34.05618)
5020032019,16-123080,WEST A HOMES (RECAP) (SITE 2),Development,ACQUISITION + REHAB,"4100 S VERMONT AVE  LOS ANGELES, CA 90037",9,2,WEST VERNON,20,44,FAMILY,No,12/22/2016,499060,4809923,5000000,10308983,Development,"Valued Housing II, LLC",BARKER MANAGEMENT,(714) 533-3450,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=16-123080&LutSiteCD=2),C-96317,2/7/2022,-118.29137,34.00887,POINT (-118.29137 34.00887)
5050011006,06-117222,WINDWARD APTS (A/B) (SITE 5),In-Service,REHAB,"2815 S WEST BLVD  Los Angeles, CA 90016",10,5,CRENSHAW DISTRICT,8,232,FAMILY,No,04/01/2006,0,7438473,4641342,12079815,2007,1755 EFM 2,"ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=06-117222&LutSiteCD=5),,2/7/2022,-118.34182,34.03056,POINT (-118.34182 34.03056)
5456012904,09-117384,GLASSELL PARK COMMUNITY HSG/AKA RIO VISTA APT,In-Service,NEW CONSTRUCTION,"3000 N VERDUGO ROAD 1-50  Los Angeles, CA 90065",1,1,GLASSELL PARK,50,50,FAMILY,No,04/23/2010,2640475,26061533,0,28702008,2011,"Abode Communities / fka LA COMMUNITY DESIGN CENTER,",ABODE COMMUNITIES (FORMERLY LACDC),(213) 225-2756,click here (http://hcidapp.lacity.org/mpphotos/09-117384/Photo/Website/glassellpark1912_007-.png),260,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=09-117384&LutSiteCD=1),C-117189,2/7/2022,-118.23757,34.10548,POINT (-118.23757 34.10548)
5148025024,17-124315,SP7 APARTMENTS,In-Service,BOTH REHAB AND NEW CONSTRUCTION,"519 E 7TH ST  Los Angeles, CA 90014",14,1,WHOLESALE DISTRICT,81,100,SPECIAL NEEDS,Yes,09/28/2018,15000000,34662532,0,49662532,2021,Skid Row Housing Trust,SRHT PROPERTY MANAGEMENT COMPANY,(213) 683-0522 x127,click here (http://hcidapp.lacity.org/mpphotos/17-124315/Photo/Website/SP7%205-1-17.JPG),495,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=17-124315&LutSiteCD=1),"C-131386,C-131982,C-96549",2/7/2022,-118.24687,34.04099,POINT (-118.24687 34.04099)
2327017034,115,COLONIA CORONA APTS,In-Service,NEW CONSTRUCTION,"13044 W SHERMAN WAY  North Hollywood, CA 91605",2,1,VALLEY GLEN,100,100,FAMILY,No,04/04/2003,10527004,5835087,2918726,19280817,2005,"HERMANDAD LA ECONOMICS AND COMMUNITY DEV CORP,","SOLARI ENTERPRISES, INC.",(714) 282-2520,click here (http://hcidapp.lacity.org/mpphotos/000115/Photo/Website/CD%202%20-%20Colonia%20Corona.JPG),146,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=000115&LutSiteCD=1),"C-100419,C-104526",2/7/2022,-118.4173,34.20103,POINT (-118.4173 34.20103)
5188005031,11-117205,THE WHITTIER,In-Service,NEW CONSTRUCTION,"3555 E WHITTIER BLVD 1-60  Los Angeles, CA 90023",14,1,BOYLE HEIGHTS,60,60,FAMILY,No,06/12/2012,4907400,19070042,0,23977442,2013,"RETIREMENT HOUSING FOUNDATION,","FOUNDATION PROPERTY MANAGEMENT, INC.",(562) 257-5120,click here (http://hcidapp.lacity.org/mpphotos/11-117205/Photo/Website/thewhittier4814_009.png),189,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=11-117205&LutSiteCD=1),C-120507,2/7/2022,-118.19678,34.02612,POINT (-118.19678 34.02612)
6070016003,19-125945,CADENCE (FKA 11408 S CENTRAL AVE),Development,NEW CONSTRUCTION,"11408 S CENTRAL AVE  Los Angeles, CA 90059",15,1,WATTS,64,64,SPECIAL NEEDS,Yes,04/27/2020,10112000,20348725,4014000,34474725,Development,LINC Housing Corporation,THE JOHN STEWART COMPANY,(213) 787-2710,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),334,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=19-125945&LutSiteCD=1),C-135492,2/7/2022,-118.25406,33.93064,POINT (-118.25406 33.93064)
5538012001,19-126549,THE WILCOX (FKA 4906-4926 SANTA MONICA),Development,NEW CONSTRUCTION,"4912 W SANTA MONICA BLVD  Los Angeles, CA 90029",13,1,EAST HOLLYWOOD,62,62,SPECIAL NEEDS,Yes,10/21/2021,0,0,0,0,Development,Wakeland Housing and Development Corporation,CONAM,(858) 614-7376,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),314,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=19-126549&LutSiteCD=1),,2/7/2022,-118.29663,34.0907,POINT (-118.29663 34.0907)
5183023005,13-119072,LINDA VISTA APARTMENTS (PHASE II),In-Service,BOTH REHAB AND NEW CONSTRUCTION,610 S ST LOUIS ST CA 90023,14,1,BOYLE HEIGHTS,97,97,SENIORS,Yes,07/30/2013,13635675,20513952,0,34149627,2015,"AMCAL Multi-Housing, Inc.","FPI MANAGEMENT, INC",(916) 850-4465,click here (http://hcidapp.lacity.org/mpphotos/13-119072/Photo/Website/150_1603.png),295,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=13-119072&LutSiteCD=1),C-122710,2/7/2022,-118.21749,34.03862,POINT (-118.21749 34.03862)
6065010046,05-117193,LEEWARD APTS. (SITE 12),In-Service,REHAB,"10634 S CENTRAL AVE  Los Angeles, CA 90002",15,12,WATTS,0,257,FAMILY,No,05/02/2005,0,7103994,10208936,17312930,2006,"HAMPSTEAD PARTNERS, INC.","ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=05-117193&LutSiteCD=12),,2/7/2022,-118.25394,33.93947,POINT (-118.25394 33.93947)
5142002904,80006,MACARTHUR PARK METRO APTS-PHASE A,In-Service,NEW CONSTRUCTION,"681 S BONNIE BRAE ST  Los Angeles, CA 90057",1,1,WESTLAKE,90,90,FAMILY,No,03/23/2010,10935748,14269866,2450000,27655614,2012,McCormack Baron Salazar,"MCCORMACK BARON RAGAN MANAGEMENT SERVICES, INC.",(314) 421-1160,click here (http://hcidapp.lacity.org/mpphotos/080006/Photo/Website/macparkmetro1901_7th_7213019%20[2].png),312,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=080006&LutSiteCD=1),C-117035,2/7/2022,-118.27507,34.05652,POINT (-118.27507 34.05652)
2216002058,12-119044,HAZELTINE & WYANDOTTE,In-Service,ACQUISITION + REHAB,"7250 N HAZELTINE AVE  VAN NUYS, CA 91405",2,1,VALLEY GLEN,35,108,FAMILY,No,12/02/2013,0,8271924,10381000,18652924,2014,"INSITE DEVELOPMENT, LLC",IRONWOOD COMPANY,(818) 789-5550,click here (http://hcidapp.lacity.org/mpphotos/12-119044/Photo/Website/150_1637.png),41,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=12-119044&LutSiteCD=1),,2/7/2022,-118.43982,34.20292,POINT (-118.43982 34.20292)
2558034032,12-118770,DAY STREET APARTMENTS,In-Service,NEW CONSTRUCTION,"7647 W DAY ST 1-3  Tujunga, CA 91042",7,1,TUJUNGA,46,46,SPECIAL NEEDS,Yes,01/30/2013,1745082,12860088,0,14605170,2014,"LA FAMILY HOUSING CORP.,",JOHN STEWART COMPANY,(213) 833-1860,click here (http://hcidapp.lacity.org/mpphotos/12-118770/Photo/Website/Day%20Street.png),121,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=12-118770&LutSiteCD=1),C-121727,2/7/2022,-118.29973,34.25468,POINT (-118.29973 34.25468)
5183001048,09-117211,LAS MARGARITAS (SITE 3),In-Service,BOTH REHAB AND NEW CONSTRUCTION,"319 N CUMMINGS ST  Los Angeles, CA 90033",14,3,BOYLE HEIGHTS,0,42,FAMILY,No,05/13/2010,559761,14135658,0,14695419,2012,East L.A. Community Corporation,THE JOHN STEWART COMPANY,(213) 878-2716,click here (http://hcidapp.lacity.org/mpphotos/09-117211/Photo/Website%20Site3/Las%20Margaritas%20319%20Cummings.JPG),121,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=09-117211&LutSiteCD=3),C-117254,2/7/2022,-118.2138,34.04789,POINT (-118.2138 34.04789)
5147029048,18-124761,LAMP LODGE,Development,N/A,"660 S STANFORD AVE  Los Angeles, CA 90021",14,1,WHOLESALE DISTRICT,82,82,SPECIAL NEEDS,Yes,12/16/2019,4070740,38017042,0,42087782,Development,Meta Housing Corporation,N/A,N/A,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),426,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-124761&LutSiteCD=1),C-134683,2/7/2022,-118.24399,34.03924,POINT (-118.24399 34.03924)
5148025025,10315,YANKEE HOTEL,In-Service,REHAB,"501 E 7TH ST  Los Angeles, CA 90014",14,1,WHOLESALE DISTRICT,80,80,SPECIAL NEEDS,Yes,12/15/2003,2019320,8432786,0,10452106,2005,Single Room Occupancy Housing  Corp. (SRO),SRO HOUSING CORPORATION,(213) 229-9641,click here (http://hcidapp.lacity.org/mpphotos/010315/Photo/Website/CD%209%20-%20The%20Yankee%20Hotel.jpg),75,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=010315&LutSiteCD=1),"C-102565,C-106009",2/7/2022,-118.24717,34.04117,POINT (-118.24717 34.04117)
4218007026,10-117553,DEL REY SQUARE SENIOR HOUSING,In-Service,NEW CONSTRUCTION,"11976 W Culver BLVD  Los Angeles, CA 90230",11,1,DEL REY,124,124,SENIORS,Yes,05/20/2011,9389134,28060445,0,37449579,2013,THOMAS SAFRAN & ASSOCIATES,THOMAS SAFRAN & ASSOCIATES,(310) 820-4888,click here (http://hcidapp.lacity.org/mpphotos/10-117553/Photo/Website/10-117553.JPG),213,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=10-117553&LutSiteCD=1),C-118852,2/7/2022,-118.41705,33.99539,POINT (-118.41705 33.99539)
5037017010,40067,ROYALS APARTMENTS (SITE 4),In-Service,REHAB,"3817 S WISCONSIN ST  Los Angeles, CA 90037",8,4,EXPOSITION PARK,10,115,FAMILY,No,05/06/2005,1100000,13039479,0,14139479,2006,"Preservation Partners Management Group, Inc.",PRESERVATION PARTNERS MANAGEMENT GROUP,(310) 802-6673,click here (http://hcidapp.lacity.org/mpphotos/040067/Photo/Website%20Site4/royalswisconsin3817wisconsin315072of5(PNG).png),49,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=040067&LutSiteCD=4),C-108105,2/7/2022,-118.29319,34.01668,POINT (-118.29319 34.01668)
5586006016,15-122495,HCHC RECAP I,In-Service,ACQUISITION + REHAB,"1924 N ARGYLE AVE  Los Angeles, CA 90068",4,1,HOLLYWOOD HILLS,21,68,FAMILY,Yes,12/29/2015,0,7026512,1126600,8153112,2017,"HOLLYWOOD COMMUNITY HOUSING CORP.,",BARKER MANAGEMENT INC.,(714) 533-3450,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),57,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=15-122495&LutSiteCD=1),"C-126917,C-130859,C-89399-1",2/7/2022,-118.32509,34.10601,POINT (-118.32509 34.10601)
5037009012,06-117222,WINDWARD APTS (A/B) (SITE 6),In-Service,REHAB,"1253 W 39TH ST  Los Angeles, CA 90037",8,6,EXPOSITION PARK,20,232,FAMILY,No,04/01/2006,0,7438473,4641342,12079815,2007,1755 EFM 2,"ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=06-117222&LutSiteCD=6),,2/7/2022,-118.29915,34.01563,POINT (-118.29915 34.01563)
4006020048,19-126519,WEST TERRACE (FKA SILVER STAR II),Development,NEW CONSTRUCTION,6576 S WEST BLVD CA 90043,8,1,HYDE PARK,64,64,SPECIAL NEEDS,Yes,03/24/2021,0,25399472,6790000,32189472,Development,A Community of Friends,A COMMUNITY OF FRIENDS,(213) 480-0809,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),257,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=19-126519&LutSiteCD=1),,2/7/2022,-118.33503,33.97897,POINT (-118.33503 33.97897)
5502009900,18-124721,VERMONT CORRIDOR APARTMENTS (FKA 433 VERMONT APTS),Development,NEW CONSTRUCTION,"433 S VERMONT AVE  Los Angeles, CA 90020",10,1,WILSHIRE CENTER,72,72,SPECIAL NEEDS,Yes,03/27/2019,8700000,42652600,0,51352600,Development,Meta Housing Corporation,THE JOHN STEWART COMPANY,(213) 833-1860,click here (http://hcidapp.lacity.org/mpphotos/18-124721/Photo/Website/433%20Vermont.JPG),394,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-124721&LutSiteCD=1),C-132975,2/7/2022,-118.29186,34.06636,POINT (-118.29186 34.06636)
5445031903,11-117797,TAYLOR YARD APARTMENTS,In-Service,NEW CONSTRUCTION,"1311 N SAN FERNANDO ROAD  Los Angeles, CA 90065",1,1,ATWATER VILLAGE,68,68,FAMILY,No,02/22/2013,6199789,11514000,3500000,21213789,2014,"MCCORMACK BARON & ASSOCIATES,",MCCORMACK BARON RAGAN MANAGEMENT,(213) 236-2694,click here (http://hcidapp.lacity.org/mpphotos/11-117797/Photo/Website/11-117797.jpg),205,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=11-117797&LutSiteCD=1),C-121807,2/7/2022,-118.23223,34.09591,POINT (-118.23223 34.09591)
4323013900,19-126648,11010 SANTA MONICA,Development,NEW CONSTRUCTION,"11010 W SANTA MONICA BLVD  Los Angeles, CA 90025",5,1,WEST LOS ANGELES,51,51,SENIORS,Yes,06/18/2021,7000000,19935948,2250000,29185948,Development,"Valued Housing II, LLC",BARKER MANAGEMENT INC.,N/A,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),209,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=19-126648&LutSiteCD=1),C-138433,2/7/2022,-118.4415,34.04818,POINT (-118.4415 34.04818)
5049014013,05-117217,LEXINGTON APARTMENTS A/B (SITE 8),In-Service,REHAB,"2607 S MANSFIELD AVE  Los Angeles, CA 90016",10,8,ALSACE,0,251,FAMILY,No,12/28/2005,0,6771719,10247566,17019285,2006,"1755 EFM 2, LLC","ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=05-117217&LutSiteCD=8),,2/7/2022,-118.35251,34.03212,POINT (-118.35251 34.03212)
2654021043,80003,COLUMBUS SQUARE,In-Service,REHAB,"8557 N COLUMBUS AVE  North Hills, CA 91343",6,1,NORTH HILLS,64,64,SENIORS,No,11/21/2008,2350000,9475459,0,11825459,2009,Columbus Preservation Limited Partnership,PRESERVATION PARTNERS MANAGEMENT GROUP,(310) 802-6673,click here (http://hcidapp.lacity.org/mpphotos/080003/Photo/Website/CD%207%20-%20Columbus%20Square.jpg),51,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=080003&LutSiteCD=1),C-114823,2/7/2022,-118.46566,34.22663,POINT (-118.46566 34.22663)
5544021026,15-122495,HCHC RECAP I (SITE 2),In-Service,ACQUISITION + REHAB,"5425 W CARLTON WAY  HOLLYWOOD, CA 90027",13,2,HOLLYWOOD,24,68,FAMILY,Yes,12/29/2015,0,7026512,1126600,8153112,2017,"HOLLYWOOD COMMUNITY HOUSING CORP.,",BARKER MANAGEMENT INC.,(714) 533-3450,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),57,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=15-122495&LutSiteCD=2),"C-126917,C-130859,C-89399-1",2/7/2022,-118.30776,34.10063,POINT (-118.30776 34.10063)
5141001036,80056,PARKVIEW ON THE PARK,In-Service,REHAB,"622 S ALVARADO ST  Los Angeles, CA 90057",1,1,WESTLAKE,80,80,SPECIAL NEEDS,Yes,07/22/2010,6000000,15159034,0,21159034,2011,"LOS ANGELES HOUSING PARTNERSHIP,",AFFORDABLE COMMUNITIES/SOCAL,(714) 641-5110 x418,click here (http://hcidapp.lacity.org/mpphotos/080056/Photo/Website/080056%2009-05-2008.jpg),158,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=080056&LutSiteCD=1),C-117633,2/7/2022,-118.27516,34.05877,POINT (-118.27516 34.05877)
5114014031,14-121652,FLORENCE MILLS (SITE 6),In-Service,NEW CONSTRUCTION,"1047 E MARTIN LUTHER KING BLVD  LOS ANGELES, CA 90011",9,6,CENTRAL,0,74,SPECIAL NEEDS,Yes,12/17/2018,9389115.63,36081992,0,45471107.63,2021,Hollywood Community Housing Corporation,BARKER MANAGEMENT INCORPORATED,(714) 533-3450,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),226,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=14-121652&LutSiteCD=6),C-129358,2/7/2022,-118.25724,34.01115,POINT (-118.25724 34.01115)
5080022026,20-127449,MCDANIEL HOUSE (FKA SOUTH HARVARD),Development,NEW CONSTRUCTION,"1049 1/2 S HARVARD BLVD  Los Angeles, CA 90006",10,1,KOREATOWN,47,47,SPECIAL NEEDS,Yes,10/29/2021,6440000,17266300,0,23706300,Development,Decro Corporation,FPI MANAGEMENT,N/A,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=20-127449&LutSiteCD=1),,2/7/2022,-118.30437,34.0512,POINT (-118.30437 34.0512)
