,OBJECTID,PANTHERID,SEX,AGE,LOCATION,CAUSE,YEAR,Date,last_edited_date,CauseLong,PANTHERID2,MORTID,AGE_UNITS,month,lon,lat,year
104,1844,UCFP333,Male,2.5,I-75 southbound,Vehicular trauma,2018,2018-05-18 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01027,Years,5,-81.31863349259037,26.15475801497775,2018
105,1845,UCFP332,Female,3,"SR82, west bound shoulder.  Was located 382 m west of the junction with Corkscrew Rd.",Vehicular trauma,2018,2018-04-03 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01028,Years,4,-81.52087483900299,26.507608384401482,2018
106,1846,FP236,Male,9.5,Golden gate estates. rock rd,Infectious disease - Other,2018,2018-03-21 04:00:00+00:00,2022-05-02T15:27:17+00:00,Infectious disease - Other,,MN-01093,Years,3,-81.62853980058871,26.26585538382475,2018
107,1847,FP245,Male,7,"Immokalee Ranch, ~2 miles ESE of Bishop Pens",Infectious disease - Pseudorabies,2018,2018-03-14 04:00:00+00:00,2022-05-02T15:27:17+00:00,Infectious disease - Pseudorabies,,MN-01095,Years,3,-81.23713546618592,26.33496366296872,2018
108,1848,UCFP330,Female,5.5,"SR29, Jerome",Vehicular trauma,2018,2018-02-28 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00987,,2,-81.34705294795667,25.99687183499661,2018
109,1849,UCFP331,Female,6,"CR846, 2.5 miles west of County line Road",Vehicular trauma,2018,2018-02-28 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00988,Years,2,-81.31254178129014,26.42068778616928,2018
110,1850,UCFP329,Male,2,"On US HWY 27, 1.75 km west of Co Rd 720.",Vehicular trauma,2018,2018-02-22 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00986,Years,2,-80.99549725792323,26.754212920027516,2018
111,1851,UCFP328,Female,5.5,2.19km NNW of Ave Maria.  Was 8.8km east of junction with Everglades Blvd,Vehicular trauma,2018,2018-02-19 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00985,Years,2,-81.4583181559785,26.366869164695483,2018
112,1852,UCFP327,Male,4,Immokalee Rd south of Stockade St,Vehicular trauma,2018,2018-02-05 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00984,Months,2,-81.41710509106683,26.390082900132146,2018
113,1853,UCFP326,Female,0.4,"CR835, 1/2 mile south of Dooley Grade Rd",Vehicular trauma,2018,2018-02-03 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00982,,2,-80.98136099221823,26.541848591594817,2018
114,1854,UCFP325,Female,3,"CR835, 1/2 mile south of Dooley Grade Rd",Vehicular trauma,2018,2018-02-02 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00981,Years,2,-80.98151146901147,26.542498712203972,2018
115,1855,UCFP324,Male,2.5,SR80.    1.4 mi west of Cowboy Way,Vehicular trauma,2018,2018-01-30 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00980,Years,1,-81.47800271601724,26.7321535322498,2018
116,1856,UCFP323,Male,1.5,"North side of Immokalee Rd, just west of Wildwood",Vehicular trauma,2018,2018-01-13 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01029,Years,1,-81.65278668207159,26.27333170332052,2018
117,1857,UCFP322,Female,3.5,North end of Snake Road approximately 1 mile east of Rotenberger access road.,Vehicular trauma,2018,2018-01-08 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01030,Years,1,-80.88568932031149,26.300278609038536,2018
118,1858,PC1144,Female,4.5,"I75 southbound lanes, just west of the 101 exit ramp.  Located on the inside (north) shoulder of I75.  Carcass was just off the hard top in grass",Vehicular trauma,2018,2018-01-07 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01112,Months,1,-81.7003319857941,26.163583743474092,2018
119,1859,UCFP321,Male,2.5,"Private property east of SR29 and north of SR78, 1.3km W-NW of SR78-Ortona Rd intersection.",ISA,2017,2017-12-20 05:00:00+00:00,2022-05-02T15:27:17+00:00,ISA,,MN-01031,Years,12,-81.3292682043696,26.816752221140526,2017
120,1860,UCFP319,Male,2,"Daniel's Parkway, on the median",Vehicular trauma,2017,2017-11-23 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01033,Years,11,-81.73210214010217,26.564898257909338,2017
121,1861,FP249,Male,2,CR833 north of Seminole Indian Reservation,Vehicular trauma,2017,2017-11-20 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01096,Years,11,-81.0239457037204,26.398210140105565,2017
122,1862,K364,Male,6,CR833.  1 mi south of Hill Grade (2.2 mi south of CR832),Vehicular trauma,2017,2017-11-13 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,UCFP318,MN-01035,Years,11,-81.12690668672816,26.572898739754613,2017
123,1863,K411,Male,3.7,Immokalee Rd. About 0.5 mile south of curve to corkscrew sanctuary,Vehicular trauma,2017,2017-11-07 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01084,Years,11,-81.59538535949578,26.35087998522698,2017
124,1864,UCFP317,Female,1.5,CR835.  1 mile south of Dooley Grade.,Vehicular trauma,2017,2017-10-15 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01036,Years,10,-80.9813119729498,26.534598149281372,2017
125,1865,UCFP316,Male,3.5,"SR98, north of Lake Istokpoga",Vehicular trauma,2017,2017-09-16 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01037,Years,9,-81.27227465764398,27.450745831356237,2017
126,1866,FP244,Male,7.5,Dinner Island Ranch WMA,Unknown,2017,2017-08-28 04:00:00+00:00,2022-05-02T15:27:17+00:00,Unknown,,MN-01094,Years,8,-81.17608042405837,26.455006467868174,2017
127,1867,UCFP315,Female,1,"CR846. Rocky Lake curve, directly across from Robert's Ranch Rd",Vehicular trauma,2017,2017-08-24 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01038,Years,8,-81.12847389475935,26.429179248754167,2017
128,1868,UCFP314,Male,1.5,Ft. Denaud Road; 1.2km north of SR80,Vehicular trauma,2017,2017-08-18 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01039,Years,8,-81.51817369028359,26.721187037245915,2017
129,1869,FP234,Male,12,"I75, mm 54, inside median",Vehicular trauma,2017,2017-08-13 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01092,Years,8,-80.94003218207713,26.171306224466196,2017
130,1870,UCFP312,Female,2.5,Collier Blvd (CR951). 400 feet north of City Gate Blvd (near BP gas station) by canal.,Vehicular trauma,2017,2017-07-18 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01041,Years,7,-81.68668991925948,26.169680993282945,2017
131,1871,UCFP311,Male,5,Immokalee Rd/Richards Rd intersection. 2 miles east of Collier Blvd (CR951).,Vehicular trauma,2017,2017-07-03 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01042,Years,7,-81.65699963971862,26.272725589730147,2017
132,1872,UCFP310,Male,2.5,Carcass was located on the north side of CR846 where it had been pulled off the road by the individual who hit  (vehicle collision) the animal,Vehicular trauma,2017,2017-06-16 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01043,Years,6,-81.23842936089359,26.423458073264985,2017
133,1873,UCFP309,Male,UNK,1274 Keri Island Rd.  North side of GG E just S of Immokalee Rd. Carcass was under a bougainvillea bush.,Unknown,2017,2017-06-11 04:00:00+00:00,2022-05-02T15:27:17+00:00,Unknown,,MN-01044,Years,6,-81.63140326499848,26.25832149929642,2017
134,1874,UCFP308,Female,3.5,"Keri Rd., CR 832. Original coordinates 26.6054, -81.2225. South side of road, across ditch.",Vehicular trauma,2017,2017-05-08 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01045,Years,5,-81.22250355861614,26.605394529467528,2017
135,1875,UCFP307,Female,4.5,CR846. 2.6 miles west of CR858 (County Line Rd),Vehicular trauma,2017,2017-04-20 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01046,Years,4,-81.31399516738495,26.420431783547887,2017
136,1876,UCFP313,Male,2,CREW Marsh Trails hiking area; Pop Ash Slough Trail,ISA,2017,2017-04-14 04:00:00+00:00,2022-05-02T15:27:17+00:00,ISA,,MN-01040,Years,4,-81.53836964324725,26.482388653137598,2017
137,1877,UCFP306,Male,2.5,I-4 center median near exit 58,Vehicular trauma,2017,2017-04-13 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01047,Years,4,-81.61605977853596,28.258017004846725,2017
138,1878,UCFP305,Female,1.5,"CR835, 0.37km south of Dooley Grade",Vehicular trauma,2017,2017-04-05 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01048,Years,4,-80.98148040167568,26.548421848487074,2017
139,1879,FP198,Female,9,"citrus grove 500m south of CR850, 1km west of Lee-Collier line",ISA,2017,2017-03-22 04:00:00+00:00,2022-05-02T15:27:17+00:00,ISA,,MN-01089,Years,3,-81.57178437119376,26.446630284243682,2017
140,1880,UCFP304,Female,4,CR 846 approximately 2 miles east of Immokalee,Vehicular trauma,2017,2017-03-14 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01049,Years,3,-81.37481127561323,26.41910249686125,2017
141,1881,UCFP303,Female,2,SR 82 1.4 miles east of CR850,Vehicular trauma,2017,2017-03-09 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01050,Months,3,-81.49613026300493,26.50130402303646,2017
142,1882,UCFP302,Female,2.5,"SR82, 2.8km west of junction with CR850.  Just where new 4 lane section begins.",Vehicular trauma,2017,2017-03-04 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00935,Years,3,-81.54470724769524,26.51358686110059,2017
143,1883,UCFP301,Male,2.75,"NE Four Mile Grade Road 2 miles north of SR70, 12 miles east of Arcadia; extensive orange groves on east side, open cattle ranchlands on west side",Vehicular trauma,2017,2017-02-28 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00952,Years,2,-81.69449667074396,27.240667220528607,2017
144,1884,UCFP300,Male,5.5,SR82 1/2 mile east of CR850,Vehicular trauma,2017,2017-02-27 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00951,Years,2,-81.50925107041782,26.504733974278444,2017
145,1885,UCFP299,Unknown,,"about 200' south of east end of 2nd Ave NE, east of Desoto Blvd",Unknown,2017,2017-02-23 05:00:00+00:00,2022-05-02T15:27:17+00:00,Unknown,,MN-00950,,2,-81.50973564683488,26.233477559683205,2017
146,1886,K388,Male,4,US Sugar property east of CR385,ISA,2017,2017-01-27 05:00:00+00:00,2022-05-02T15:27:17+00:00,ISA,,MN-01082,Years,1,-80.95478667015728,26.520759474551166,2017
147,1887,UCFP296,Male,3,"On CR832, 5 miles west of CR833; near Triburton",Vehicular trauma,2017,2017-01-12 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00936,Months,1,-81.20645335943479,26.605671530850152,2017
148,1888,UCFP295,Female,4.5,intersection of Ben Hill Griffin Pkwy and FGCU Blvd,Vehicular trauma,2016,2016-12-10 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00937,Months,12,-81.78458760116892,26.462287534671145,2016
149,1889,UCFP294,Female,2,Corkscrew Rd 1/4 mile east of Ben Hill Griffin Pkwy,Vehicular trauma,2016,2016-12-09 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00938,Years,12,-81.76791299471166,26.437693394873136,2016
150,1890,UCFP293,Female,4,Just south of Daniels Pkwy on road to RSW,Vehicular trauma,2016,2016-12-08 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00939,Months,12,-81.74960014055225,26.555309080225957,2016
151,1891,UCFP292,Female,2,SR 29 two miles north of CR858 near entrance to citrus grove,Vehicular trauma,2016,2016-12-06 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00940,Years,12,-81.34303748492486,26.325683867783322,2016
152,1892,UCFP291,Male,9,CR832 two miles east of SR29 near entrance to Spirit of the Wild WMA,Vehicular trauma,2016,2016-11-20 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00941,Months,11,-81.40334710143638,26.596202683791642,2016
153,1893,UCFP290,Female,,"SR29 2.3 miles south of CR858, right at entrance to Sunniland mine.",Vehicular trauma,2016,2016-11-16 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00942,,11,-81.34216033574546,26.26923420653122,2016
154,1894,UCFP289,Female,3,Golden Gate Blvd 1 km west of Everglades Blvd,Vehicular trauma,2016,2016-10-31 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00943,Years,10,-81.55439528069212,26.23068469600498,2016
155,1895,UCFP288,Male,6,Daniels Parkway 2.4km southwest of SR82,Vehicular trauma,2016,2016-10-28 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00944,Months,10,-81.7309142043772,26.565978774169135,2016
156,1896,UCFP287,Male,3.5,"US27, just north of intersection of CR731 (Venus).",Vehicular trauma,2016,2016-10-18 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00945,Years,10,-81.33665173077763,27.070239251976783,2016
157,1897,UCFP286,Male,2,"SR80, south side near the Hendry/Lee boundary line",Vehicular trauma,2016,2016-10-10 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00946,Years,10,-81.56507799933847,26.709306802347992,2016
158,1898,K421,Male,2.4,"SR29, north of Immokalee",Vehicular trauma,2016,2016-10-02 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00924,Years,10,-81.43442945256234,26.4624453067297,2016
159,1899,FP195,Female,8.5,Golden Gate Estates,ISA,2016,2016-08-29 04:00:00+00:00,2022-05-02T15:27:17+00:00,ISA,,MN-00925,Years,8,-81.54782693947183,26.166357626022556,2016
160,1900,FP171,Male,9.5,"SR29, 4.3km north of I75. Found in the northbound lanes, pulled off to shoulder by CCSO",Vehicular trauma,2016,2016-08-14 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01088,Years,8,-81.34589397032319,26.19411811273733,2016
161,1901,UCFP285,Female,,SR82 half mile west of Church rd,Vehicular trauma,2016,2016-08-05 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01051,Years,8,-81.53849727049294,26.511931047893867,2016
162,1902,FP242,Male,10,Immokalee Ranch,Infectious disease - Pseudorabies,2016,2016-08-05 04:00:00+00:00,2022-05-02T15:27:17+00:00,Infectious disease - Pseudorabies,,MN-00926,,8,-81.24354018736204,26.416939345429604,2016
163,1903,FP215,Female,11,Barron Collier. Catherine Island. East of ag fields.,Unknown,2016,2016-06-22 04:00:00+00:00,2022-05-02T15:27:17+00:00,Unknown,K185,MN-01090,Years,6,-81.42473318381094,26.216570899515972,2016
164,1904,UCFP284,Female,6,CR858/Campe Keais Rd intersection,Vehicular trauma,2016,2016-06-16 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01052,Months,6,-81.41624400466301,26.29516050416494,2016
165,1905,UCFP283,Male,2.5,US27 4.5 miles south of SR70,Vehicular trauma,2016,2016-05-26 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01053,Years,5,-81.3287308348616,27.141410607443408,2016
166,1906,K403,Female,2.5,Daniel's Pkwy and Commerce lakes dr,Vehicular trauma,2016,2016-05-26 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01083,Years,5,-81.7429506473258,26.55945196434341,2016
167,1907,FP162,Female,11,Big Cypress National Preserve; Turner River Unit 8.25 km north of Hwy. 41 at Monument Lake,ISA,2016,2016-05-06 04:00:00+00:00,2022-05-02T15:27:17+00:00,ISA,,MN-01087,Years,5,-81.10939076578651,25.938236475486956,2016
168,1908,UCFP282,Male,2.5,SR29 1/4 mile north of US41,Vehicular trauma,2016,2016-05-03 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01054,Years,5,-81.36151281287816,25.915667489948426,2016
169,1909,UCFP281,Male,4,"OK slough WMA, 3.5 miles north of Keri Rd on Twin Mills Grade.  Was located in the open 20yds west of grade.",ISA,2016,2016-04-28 04:00:00+00:00,2022-05-02T15:27:17+00:00,ISA,,MN-01055,Years,4,-81.30389261757999,26.639870239075634,2016
170,1910,UCFP279,Female,3.5,I-75 south bound lanes right at the 122 MM.,Vehicular trauma,2016,2016-04-26 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01057,Years,4,-81.77350562180297,26.410098220767367,2016
171,1911,UCFP280,Male,1,"on CR833 (Josie Billie Hwy), 735 m north of the intersection with CR835",Vehicular trauma,2016,2016-04-26 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01056,Years,4,-81.0278555248748,26.43816425038805,2016
172,1912,UCFP278,Male,17,"Randall blvd, 110m east of 16 st NE",Vehicular trauma,2016,2016-04-15 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01058,Months,4,-81.57379824853368,26.277669085473388,2016
173,1913,UCFP277,Male,5.5,GG Blvd - 650 ft east of 22nd St NE/SE intersection; 200 ft east of canal,Vehicular trauma,2016,2016-04-10 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01059,Months,4,-81.56013073182876,26.230436725937334,2016
174,1914,UCFP276,Male,4.5,"I75. 0.65 miles south of Bonita Beach Rd exit, Exit 116.  North bound land, east side of roadway.",Vehicular trauma,2016,2016-04-09 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01060,Years,4,-81.74760995537962,26.32183360478624,2016
175,1915,UCFP275,Male,3,Immokalee Road 2 miles east of CR951 (Collier Blvd),Vehicular trauma,2016,2016-04-06 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01061,Years,4,-81.65739321859405,26.273256508691915,2016
176,1916,UCFP274,Male,3,I-75 0.6 mi north of SR82 (exit 138),Vehicular trauma,2016,2016-04-06 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01062,Years,4,-81.80010729307273,26.64326170517601,2016
177,1917,UCFP273,Male,1,I-75 near MM96 Hit in southbound (westbound) lanes of the Alley along unfenced area surrounded by Belle Meade.,Vehicular trauma,2016,2016-04-01 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01063,Years,4,-81.60095314457622,26.153468465574136,2016
178,1918,UCFP272,Male,15,"Golden Gate Estates, western end of Golden Gate Blvd; just east of 3815 GG Blvd. On west bound lanes of GG Blvd, approximately 0.3 miles east of the intersection with CR951",Vehicular trauma,2016,2016-03-25 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01064,Months,3,-81.68358468766404,26.22910803015118,2016
179,1919,UCFP271,Male,3,"Lakeland, approximately one mile from FWC regional office. Polk Parkway (570)",Vehicular trauma,2016,2016-03-09 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01065,Years,3,-82.022103048029,28.0101669236683,2016
180,1920,UCFP270,Unknown,3,over hump on west side of L28I road directly adjacent to southern most bridge on canal.,Unknown,2016,2016-03-05 05:00:00+00:00,2022-05-02T15:27:17+00:00,Unknown,,MN-01066,Years,3,-80.90685109605455,26.207244521614342,2016
181,1921,UCFP269,Male,2,Lely Development in east Naples.  Pond on 16th hole just north of the cul-de-sac at Palmer Ct.  16th hole of one of Lely Golf Course; 193 m west of CR951,Unknown,2016,2016-02-18 05:00:00+00:00,2022-05-02T15:27:17+00:00,Unknown,,MN-01067,Years,2,-81.68930027615144,26.097903697769915,2016
182,1922,UCFP268,Male,4,1.25 mi east of CR850 (Corkscrew Rd) SR82,Vehicular trauma,2016,2016-02-17 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01068,Years,2,-81.49857098832682,26.501819199753882,2016
183,1923,UCFP267,Male,5.5,Westbound lane of SR82 a few hundred feet east of Hendry Co. line. SR82,Vehicular trauma,2016,2016-02-15 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01069,Months,2,-81.54257752990449,26.51314352904024,2016
184,1924,UCFP266,Female,1.5,SR 82 between Jaguar Blvd. and Sparta Ave. Road right of way,Vehicular trauma,2016,2016-02-12 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01070,Years,2,-81.63310580422721,26.53769920788004,2016
185,1925,UCFP265,Male,2.5,"I75, 2 km north of Daniel's Parkway, Lee Co.",Vehicular trauma,2016,2016-02-02 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00798,Years,2,-81.79395826296918,26.566119883696302,2016
186,1926,UCFP264,Female,4,"SR82, 1.4 km west of Church Rd, Hendry Co. Near Lazy Creek Park",Vehicular trauma,2016,2016-01-30 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00797,Years,1,-81.54503958123125,26.51382937398913,2016
187,1927,UCFP263,Male,2.5,"Florida Turnpike, south of Ft. Drum Service Plaza. near Yeehaw Junction",Vehicular trauma,2016,2016-01-21 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00796,Years,1,-80.81776105324779,27.595266817230367,2016
188,1928,UCFP262,Female,8,"Daniel's Parkway, 1/2 mile east of Treeline Avenue, Lee Co.",Vehicular trauma,2016,2016-01-20 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00795,Months,1,-81.7775278338775,26.54759341060971,2016
189,1929,UCFP260,Male,6,"18th Ave SE, W of Desoto, Collier Co.",Unknown,2016,2016-01-03 05:00:00+00:00,2022-05-02T15:27:17+00:00,Unknown,,MN-00793,Months,1,-81.51733319685935,26.19919299755185,2016
190,1930,UCFP259,Female,7,"CR832. 3 mi west of CR833, Hendry Co.",Vehicular trauma,2015,2015-12-31 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00792,Months,12,-81.17510578161951,26.60606568649703,2015
191,1931,UCFP258,Male,1.5,"SR29, Owl Hammock Curve, Collier Co.",Vehicular trauma,2015,2015-12-21 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00791,Years,12,-81.34730768681504,26.363181422775252,2015
192,1932,UCFP227,Male,2,"US41, MM 57, 3.8 km west of the Oasis Visitor Center",Vehicular trauma,2015,2015-12-19 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00770,Years,12,-81.07037541214942,25.860693116624947,2015
193,1933,UCFP257,Male,,"CR835, 2.5 km S of Dooley Grade Rd, Hendry Co.",Vehicular trauma,2015,2015-12-16 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00790,,12,-80.98114232341345,26.52849439160063,2015
194,1934,UCFP256,Female,2.5,"Corkscrew Road, Collier Co.",Vehicular trauma,2015,2015-12-15 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00789,Years,12,-81.5292489304883,26.49544259323792,2015
195,1935,UCFP255,Female,1,"CR832, Hendry Co.",Vehicular trauma,2015,2015-12-08 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00788,Years,12,-81.30190435120883,26.582901372090863,2015
196,1936,FP093,Female,16.8,"Big Cypress National Preserve, Turner River Unit, eastern Airplane Prairie. 11.5 km south of I-75; 8 km east of Turner River Road",Unknown,2015,2015-12-02 05:00:00+00:00,2022-05-02T15:27:17+00:00,Unknown,,MN-00612,Years,12,-81.18686745597383,26.062976635787187,2015
197,1937,K387,Male,2.8,"SR29 between Pollywog Rd and SR78, Glades Co.",Vehicular trauma,2015,2015-11-25 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00372,Years,11,-81.41904520863709,26.80511166584171,2015
198,1938,UCFP254,Male,9,"CR846, just W Everglades Blvd., Collier Co.",Vehicular trauma,2015,2015-11-23 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00787,Months,11,-81.54802411159186,26.366237965737778,2015
199,1939,UCFP252,Male,4,"CSSP near boat ramp, Collier. Co.",Other,2015,2015-10-31 04:00:00+00:00,2022-05-02T15:27:17+00:00,Other,,MN-00785,Months,10,-81.59416283953068,25.987652274037178,2015
200,1940,FP222,Female,10.5,"I75, MM90, Collier Co. Northbound shoulder along the inner median",Vehicular trauma,2015,2015-10-23 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00403,Years,10,-81.50032202939438,26.15325724793368,2015
201,1941,UCFP251,Female,3,"US 41, west of CR 92, Collier Co.",Vehicular trauma,2015,2015-10-08 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00784,Years,10,-81.60343737081575,26.00193476764089,2015
202,1942,K432,Female,13,"I-75, mm 102",Vehicular trauma,2015,2015-09-30 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00509,Months,9,-81.69526491895807,26.162876931130015,2015
203,1943,UCFP250,Male,3.5,"US41, just west of Trail Lakes Campground, Collier Co.",Vehicular trauma,2015,2015-09-28 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00783,Years,9,-81.27940718128689,25.894998924448327,2015
204,1944,UCFP249,Male,4,CR858. 1/4 mi west of County Line Rd,Vehicular trauma,2015,2015-09-22 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00782,Months,9,-81.27367600253774,26.311431154557553,2015
205,1945,FP219,Female,4.3,"I-75, just west of exit 101, Collier Co.",Vehicular trauma,2015,2015-09-18 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,K334,MN-00402,Years,9,-81.69183957450778,26.162297499020326,2015
206,1946,FP240,Female,2.7,"Deep Lake Unit of Big Cypress NP, Collier Co.",ISA,2015,2015-08-12 04:00:00+00:00,2022-05-02T15:27:17+00:00,ISA,,MN-00781,Years,8,-81.29229202013926,26.022935413951494,2015
207,1947,UCFP248,Female,4.5,"Golden Gate Blvd (2300 GGBlvd E), Collier Co.",Vehicular trauma,2015,2015-07-30 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00780,Months,7,-81.55825838855343,26.23039886413754,2015
208,1948,UCFP247,Male,2.5,"SR80, 5 mi west of LaBelle",Vehicular trauma,2015,2015-07-13 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00779,Years,7,-81.50567773571099,26.712402005218525,2015
209,1949,UCFP245,Male,10.5,"Daniels Pkwy, 1 mi SW of SR82",Vehicular trauma,2015,2015-07-08 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00777,Months,7,-81.72652779732017,26.570948944293807,2015
210,1950,UCFP244,Male,1.5,"Immokalee Rd., 0.4 mi south of Wild Turkey Dr.",Vehicular trauma,2015,2015-07-05 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-00776,Years,7,-81.59519590749731,26.347151742602442,2015
